,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
46,George Bello,us USA,DF,Arminia,19,2002,10,3,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.05,0.07,0.02,0.07,Matches,aca0a525
47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,13,2,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.20,0.24,0.44,0.20,0.44,Matches,fe888e39
48,Keanan Bennetts,eng ENG,FWDF,M'Gladbach,22,1999,4,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,Matches,f4c7c708
49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,23,22,2020,22.4,4,1,2,2,2,6,0,0.18,0.04,0.22,0.09,0.13,4.1,2.5,1.3,3.8,0.18,0.06,0.24,0.11,0.17,Matches,378825c7
50,Louis Beyer,de GER,DF,M'Gladbach,21,2000,17,15,1384,15.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.04,0.02,0.06,0.04,0.06,Matches,9af1f9ff
51,Bartosz Bialek,pl POL,FWDF,Wolfsburg,19,2001,12,1,178,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.20,0.07,0.27,0.20,0.27,Matches,763b8b37
52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7aac47fe
53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,07d3bfec
54,Danny Blum,de GER,FW,Bochum,30,1991,13,2,346,3.8,2,0,2,0,0,0,0,0.52,0.00,0.52,0.52,0.52,0.9,0.9,1.3,2.2,0.24,0.34,0.58,0.24,0.58,Matches,eb61713c
55,Kevin-Prince Boateng,gh GHA,MFFW,Hertha BSC,34,1987,18,8,696,7.7,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.05,0.10,0.05,0.10,Matches,f4ec4fd0
56,Herbert Bockhorn,de GER,DF,Bochum,26,1995,18,7,850,9.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.04,0.09,0.05,0.09,Matches,5ad8c360
57,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,33,19,1800,20.0,2,2,2,0,0,3,0,0.10,0.10,0.20,0.10,0.20,1.3,1.3,2.9,4.3,0.07,0.15,0.21,0.07,0.21,Matches,635f2732
58,Tarsis Bonga,de GER,MFFW,Bochum,24,1997,3,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,2.47,0.00,2.47,2.47,2.47,Matches,6ebbc28a
59,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dd7b6eb8
