,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
482,Lucas Tousart,fr FRA,MF,Hertha BSC,24,1997,21.8,2,23,7,30.4,1.06,0.32,0.09,0.29,19.5,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches,71ec39ef
483,Kevin Trapp,de GER,GK,Eint Frankfurt,31,1990,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ce17b5eb
484,Christopher Trimmel,at AUT,DFFW,Union Berlin,34,1987,22.1,2,20,5,25.0,0.90,0.23,0.10,0.40,18.1,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches,056d2d95
485,Philipp Tschauner,de GER,GK,RB Leipzig,35,1985,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73e2f6eb
486,Tuta,br BRA,DF,Eint Frankfurt,22,1999,24.3,4,15,6,40.0,0.62,0.25,0.27,0.67,11.7,0,0,0,2.6,2.6,0.17,+1.4,+1.4,Matches,35d64857
487,Anthony Ujah,ng NGA,FWMF,Union Berlin,30,1990,0.4,0,3,1,33.3,7.71,2.57,0.00,0.00,13.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,99be8fb5
488,Sven Ulreich,de GER,GK,Bayern Munich,32,1988,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7d3e7da6
489,Dayot Upamecano,fr FRA,DF,Bayern Munich,22,1998,24.6,1,11,2,18.2,0.45,0.08,0.09,0.50,14.9,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches,d248cd8f
490,Benjamin Uphoff,de GER,GK,Freiburg,27,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a9a6fc08
491,Mark Uth,de GER,MFFW,Köln,29,1991,22.5,5,70,20,28.6,3.11,0.89,0.07,0.25,18.0,4,0,0,6.1,6.1,0.09,-1.1,-1.1,Matches,a3ddb1b9
492,Ruben Vargas,ch SUI,MFFW,Augsburg,22,1998,22.0,1,40,8,20.0,1.81,0.36,0.03,0.13,18.1,0,0,0,4.8,4.8,0.12,-3.8,-3.8,Matches,6ecbddf6
493,Sebastian Vasiliadis,gr GRE,MF,Arminia,23,1997,13.3,0,12,2,16.7,0.91,0.15,0.00,0.00,25.1,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,d3112d86
