,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
412,Diadie Samassékou,ml MLI,MF,Hoffenheim,25,1996,18.4,30,1.63,23,0,1,5,0,1,3,0.16,2,0,0,1,0,0,Matches,08593525
413,Leroy Sané,de GER,FWMF,Bayern Munich,25,1996,22.0,112,5.10,78,8,12,11,2,1,14,0.64,10,0,1,2,1,0,Matches,2b114be3
414,Mohamed Sankoh,nl NED,FW,Stuttgart,17,2003,0.0,1,22.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,be625686
415,Baptiste Santamaria,fr FRA,MF,Freiburg,26,1995,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5e22e2a4
416,Bouna Sarr,sn SEN,DF,Bayern Munich,29,1992,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1a4b9094
417,Joe Scally,us USA,DF,M'Gladbach,18,2002,21.2,39,1.84,33,2,0,2,2,0,5,0.24,3,0,0,2,0,0,Matches,236f02cd
418,Kevin Schade,de GER,MFFW,Freiburg,19,2001,9.2,25,2.71,9,0,4,3,8,1,3,0.32,1,0,0,0,2,0,Matches,52afb588
419,András Schäfer,hu HUN,MF,Union Berlin,22,1999,2.7,6,2.27,4,0,2,0,0,0,2,0.76,1,0,1,0,0,0,Matches,049751d7
420,Louis Schaub,at AUT,MFFW,Köln,26,1994,7.3,27,3.72,19,2,1,2,2,1,4,0.55,4,0,0,0,0,0,Matches,b50ec54b
421,Patrik Schick,cz CZE,FW,Leverkusen,25,1996,23.1,48,2.08,33,0,3,10,2,0,14,0.61,10,0,2,1,1,0,Matches,5d4f7d61
422,Kingsley Schindler,de GER,DFFW,Köln,28,1993,3.9,12,3.09,9,1,0,1,1,0,3,0.77,2,1,0,0,0,0,Matches,bd527260
423,Xaver Schlager,at AUT,MF,Wolfsburg,23,1997,11.6,15,1.30,12,0,1,1,0,1,2,0.17,2,0,0,0,0,0,Matches,8f056768
424,Keven Schlotterbeck,de GER,DFFW,Freiburg,24,1997,3.5,4,1.14,2,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches,f6bdc830
425,Nico Schlotterbeck,de GER,DF,Freiburg,21,1999,30.9,57,1.84,40,0,3,6,5,3,5,0.16,3,0,0,1,0,1,Matches,34e12499
426,Jonathan Schmid,fr FRA,DF,Freiburg,31,1990,6.5,19,2.91,11,4,0,2,1,1,1,0.15,1,0,0,0,0,0,Matches,088ca1bd
427,Benno Schmitz,de GER,DF,Köln,26,1994,26.9,76,2.82,60,11,0,2,1,2,11,0.41,8,2,0,1,0,0,Matches,ad00b1a8
428,Alessandro Schöpf,at AUT,MF,Arminia,27,1994,26.6,93,3.49,64,11,3,6,7,2,5,0.19,4,0,0,0,1,0,Matches,106bca06
