,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,37,5,21,7,9,1,37,0,1,0.0,1,0,11,1,Matches,aded8e6f
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,97,2,28,40,32,1,97,2,3,66.7,2,0,56,4,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,1533,307,936,540,72,23,1533,3,7,42.9,12,4,806,4,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,2074,28,308,1037,743,43,2070,13,28,46.4,43,19,1463,99,Matches,cd0fa27b
97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,694,4,76,315,305,41,694,7,13,53.8,18,13,538,69,Matches,78841da9
98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,1110,68,343,476,310,34,1110,27,54,50.0,35,22,601,44,Matches,247ed022
99,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,19,2002,2.5,98,0,6,45,50,10,98,6,12,50.0,8,2,56,5,Matches,b6a1cdf9
100,Antonio Candreva,it ITA,MFFW,Sampdoria,34,1987,34.7,2232,43,330,1005,923,79,2230,21,51,41.2,58,35,1617,129,Matches,356c9002
101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,75,6,13,40,22,1,75,2,2,100.0,7,5,33,2,Matches,07ea0ef2
102,Gianluca Caprari,it ITA,MFFW,Hellas Verona,28,1993,30.4,1652,10,132,709,839,137,1650,65,119,54.6,93,54,1243,207,Matches,54e53b7e
103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,781,11,53,359,374,138,781,13,27,48.1,57,16,618,194,Matches,5bd72174
104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,45,0,2,22,21,9,45,0,1,0.0,2,2,38,11,Matches,5bd72174
105,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,1343,143,587,634,134,14,1343,4,10,40.0,14,5,761,10,Matches,f7e2af2c
106,Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,1485,140,641,702,161,20,1485,9,19,47.4,21,8,769,9,Matches,3f5f38fb
107,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,2,0,0,1,1,0,2,0,0,,0,0,1,0,Matches,96960855
108,Samu Castillejo,es ESP,FWMF,Milan,26,1995,1.4,86,2,5,31,51,8,86,0,2,0.0,5,3,60,7,Matches,130a7a3f
109,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,699,13,105,327,280,42,699,25,29,86.2,43,19,478,34,Matches,0728bebe
110,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,1538,53,336,1004,206,2,1538,10,15,66.7,11,6,1089,12,Matches,ba3d3bea
111,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,2058,388,1313,644,112,26,2058,5,12,41.7,15,4,1297,5,Matches,4d1efb48
112,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,1461,108,601,724,153,32,1461,14,21,66.7,30,12,863,28,Matches,d9624b51
113,Emil Ceide,no NOR,FWMF,Sassuolo,19,2001,0.6,36,0,4,14,18,5,36,1,4,25.0,4,6,27,4,Matches,98a84572
114,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,951,120,451,460,44,13,951,2,2,100.0,8,3,569,3,Matches,7d50454d
115,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,2,0,0,1,1,0,2,0,0,,0,0,2,0,Matches,eade5337
116,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,330,41,168,157,7,4,330,0,2,0.0,4,2,172,1,Matches,ae7058f9
117,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,1100,138,483,559,63,7,1100,2,4,50.0,7,1,727,3,Matches,e85fb9b8
118,Federico Chiesa,it ITA,MFFW,Juventus,23,1997,9.6,419,7,57,166,203,46,419,21,41,51.2,20,15,266,46,Matches,b0f7e36c
119,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,1566,227,810,741,26,9,1566,4,6,66.7,13,9,1015,2,Matches,c316607a
120,Riccardo Ciervo,it ITA,MFDF,Sampdoria,19,2002,2.5,94,2,19,42,35,7,94,2,4,50.0,4,1,55,12,Matches,da77b60b
121,Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,21,0,1,8,12,3,21,1,1,100.0,5,1,17,3,Matches,ee3c4b3f
122,Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,3,1,1,1,1,0,3,0,0,,0,0,0,0,Matches,e4ba67f2
123,Ebrima Colley,gm GAM,FWMF,Spezia,21,2000,4.4,190,5,34,86,75,10,190,12,18,66.7,14,9,136,14,Matches,bf356094
124,Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,1789,300,1046,711,44,19,1789,3,3,100.0,11,1,1002,3,Matches,8b95acda
125,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,1572,1199,1557,15,0,0,1572,0,0,,0,0,782,0,Matches,8cabdc1e
126,Andrea Conti,it ITA,DFMF,Sampdoria,27,1994,2.6,111,11,41,42,29,7,111,2,3,66.7,4,0,64,7,Matches,8fef5412
127,Andrea Conti,it ITA,DF,Milan,27,1994,0.1,6,0,3,2,1,0,6,0,0,,0,0,3,0,Matches,8fef5412
128,Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,126,14,62,56,10,4,126,0,0,,2,1,68,1,Matches,22ae86f9
129,Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,488,4,21,177,302,84,488,17,40,42.5,28,12,379,84,Matches,45b9b619
130,Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,1137,64,278,661,227,8,1137,35,64,54.7,35,20,628,31,Matches,85a44ecc
131,Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,439,11,94,225,131,12,439,18,26,69.2,27,6,254,22,Matches,c976160c
132,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,1305,1064,1295,11,0,0,1305,0,0,,1,1,486,0,Matches,f554e29b
133,Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,1200,109,433,561,222,14,1193,8,11,72.7,13,9,647,9,Matches,35dd6d80
134,Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,2104,85,459,1392,267,40,2104,23,30,76.7,19,15,1424,21,Matches,16657b95
135,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,931,59,246,438,263,34,931,18,38,47.4,41,17,568,40,Matches,22cd43d2
136,Giovanni Crociata,it ITA,FW,Empoli,23,1997,0.2,11,0,0,5,6,2,11,0,0,,0,1,8,0,Matches,8c964914
137,Juan Cuadrado,co COL,DFMF,Juventus,33,1988,27.6,2158,59,491,1036,656,68,2157,46,74,62.2,46,15,1536,90,Matches,0ab1f153
138,Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,489,5,104,258,136,5,489,19,35,54.3,13,26,297,23,Matches,5722eced
139,Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,388,3,18,132,246,78,388,9,18,50.0,37,18,288,118,Matches,a4fe8cda
140,Danilo D'Ambrosio,it ITA,DF,Inter,32,1988,11.1,868,83,401,375,97,23,868,4,6,66.7,16,5,627,22,Matches,44eb9093
141,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,21,2000,6.4,351,9,58,155,147,23,351,16,25,64.0,12,10,234,31,Matches,215f3907
142,Danilo,br BRA,DFMF,Juventus,30,1991,21.0,1644,105,561,903,197,15,1644,4,9,44.4,9,4,1096,17,Matches,94b2001f
143,Ebrima Darboe,gm GAM,MF,Roma,20,2001,0.7,45,1,5,34,6,1,45,0,0,,1,0,32,2,Matches,cf043a33
144,Matteo Darmian,it ITA,DF,Inter,31,1989,16.7,795,36,242,309,249,29,795,4,9,44.4,15,2,479,49,Matches,96e0490d
145,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26,1995,13.3,753,80,299,377,83,16,753,5,5,100.0,7,2,435,9,Matches,16bb656a
146,Sebastien De Maio,fr FRA,DF,Udinese,34,1987,2.0,97,13,69,29,0,0,97,1,1,100.0,2,0,44,0,Matches,952a03fe
147,Tommaso De Nipoti,it ITA,FW,Atalanta,18,2003,0.1,2,0,0,2,0,0,2,0,0,,1,0,1,0,Matches,7f9d956a
148,Mattia De Sciglio,it ITA,DF,Juventus,28,1992,13.0,787,43,242,363,192,13,787,9,15,60.0,12,3,448,23,Matches,ae4e2852
149,Lorenzo De Silvestri,it ITA,DF,Bologna,33,1988,25.5,1562,86,474,748,351,41,1562,6,18,33.3,32,17,981,41,Matches,e74f0e59
150,Grégoire Defrel,mq MTQ,FW,Sassuolo,30,1991,15.1,543,13,51,249,251,48,543,20,37,54.1,39,32,402,89,Matches,854ee61a
151,Alessandro Deiola,it ITA,MF,Cagliari,25,1995,23.7,1028,70,302,535,203,23,1028,6,13,46.2,30,11,553,54,Matches,7f267d66
152,Filippo Delli Carri,it ITA,DF,Salernitana,22,1999,3.7,170,21,85,61,26,6,170,1,1,100.0,6,1,80,5,Matches,d2e8fd9b
153,Merih Demiral,tr TUR,DF,Atalanta,23,1998,21.3,1061,130,549,463,60,33,1061,2,4,50.0,15,5,543,7,Matches,e3cceee6
154,Diego Demme,de GER,MF,Napoli,29,1991,7.7,661,17,153,408,106,4,661,3,4,75.0,12,5,515,4,Matches,dc3fa3b5
155,Fabio Depaoli,it ITA,DF,Hellas Verona,24,1997,7.8,361,22,76,149,146,16,361,8,11,72.7,8,6,178,14,Matches,d97f2e8d
156,Fabio Depaoli,it ITA,MFDF,Sampdoria,24,1997,1.2,52,2,14,21,18,2,52,1,2,50.0,5,0,29,4,Matches,d97f2e8d
157,Mattia Destro,it ITA,FW,Genoa,30,1991,19.4,561,15,44,290,229,80,561,11,26,42.3,66,25,402,74,Matches,d7d32194
158,Gerard Deulofeu,es ESP,FWMF,Udinese,27,1994,29.1,1401,13,77,434,904,177,1400,50,117,42.7,100,44,969,161,Matches,39583cfd
159,Jacopo Dezi,it ITA,MF,Venezia,29,1992,0.2,30,0,1,19,11,1,30,1,2,50.0,0,0,20,1,Matches,e921b9db
160,Samuel Di Carmine,it ITA,FW,Hellas Verona,32,1988,0.4,8,0,0,6,2,1,8,0,0,,2,0,8,1,Matches,ef94dc2f
161,Federico Di Francesco,it ITA,FWMF,Empoli,27,1994,15.2,546,8,48,197,304,68,546,13,35,37.1,39,31,395,105,Matches,1fca9171
162,Giovanni Di Lorenzo,it ITA,DF,Napoli,27,1993,31.9,2547,102,675,1268,624,79,2547,20,46,43.5,24,26,1768,95,Matches,230a2fac
163,Francesco Di Mariano,it ITA,FW,Venezia,25,1996,0.7,18,1,1,6,11,1,18,0,2,0.0,0,0,14,3,Matches,35a2557c
164,Francesco Di Tacchio,it ITA,MF,Salernitana,31,1990,13.9,681,43,168,437,83,7,681,6,10,60.0,17,7,369,5,Matches,b5c3ff9f
165,Amadou Diawara,gn GUI,MF,Roma,24,1997,1.9,82,3,22,51,9,0,82,1,1,100.0,0,0,49,0,Matches,bf309d24
166,Brahim Díaz,es ESP,MF,Milan,21,1999,20.6,938,8,59,490,411,59,938,45,88,51.1,64,39,709,103,Matches,407feb71
167,Mitchell Dijks,nl NED,DFFW,Bologna,28,1993,7.7,418,18,146,155,124,13,418,12,28,42.9,12,4,249,9,Matches,0a3065c8
168,Federico Dimarco,it ITA,DF,Inter,23,1997,15.9,1345,61,355,578,428,40,1344,10,16,62.5,14,10,927,71,Matches,970b8574
169,Filippo Distefano,it ITA,FW,Fiorentina,17,2003,0.0,2,0,1,0,1,0,2,0,1,0.0,0,0,1,0,Matches,2110f96c
170,Koffi Djidji,ci CIV,DF,Torino,28,1992,19.3,1071,79,417,541,119,10,1071,8,13,61.5,15,9,587,3,Matches,933d3b51
171,Berat Djimsiti,al ALB,DF,Atalanta,28,1993,25.1,1651,111,641,834,186,24,1651,4,6,66.7,18,3,1039,14,Matches,6eee05f1
172,Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,22.4,1483,72,363,888,245,31,1483,14,34,41.2,34,21,904,40,Matches,20b3a502
173,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,6.2,366,251,363,4,0,0,366,0,0,,0,0,246,0,Matches,085e71a7
174,Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,6.9,340,44,156,143,45,2,340,1,1,100.0,2,4,131,4,Matches,620922ed
175,Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,5.4,214,36,108,102,9,2,214,0,1,0.0,3,0,96,1,Matches,620922ed
176,Denzel Dumfries,nl NED,DF,Inter,25,1996,22.5,1062,35,195,369,510,125,1062,15,30,50.0,39,23,674,123,Matches,481c9ece
177,Alfred Duncan,gh GHA,MF,Fiorentina,28,1993,21.5,1099,18,169,641,310,28,1099,13,23,56.5,26,16,804,55,Matches,528492ea
