,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
40,Antonín Barák,cz CZE,MFFW,Hellas Verona,26,1994,26.0,18,8,9,8,1,5,17,29.4,12,32,5,27,6,24,26,0,Matches,01efac19
41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,0acda699
42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,63,42,17,35,11,29,55,52.7,26,26,2,24,21,84,8,2,Matches,6928979a
43,Musa Barrow,gm GAM,FWMF,Bologna,22,1998,23.7,12,4,4,4,4,6,20,30.0,14,20,1,19,6,18,8,0,Matches,e5bf73f3
44,Daniele Baselli,it ITA,MFFW,Torino,29,1992,1.7,3,3,2,0,1,2,6,33.3,4,0,0,0,1,4,2,0,Matches,ea06dd97
45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,6,5,3,1,2,1,5,20.0,4,2,0,2,2,8,5,0,Matches,ea06dd97
46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,12,8,3,9,0,5,17,29.4,12,13,4,9,4,16,21,0,Matches,80556f08
47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,44,25,28,13,3,17,34,50.0,17,22,12,10,35,79,59,1,Matches,75b86fb3
48,Simone Bastoni,it ITA,MFDF,Spezia,24,1996,25.4,52,34,28,17,7,21,65,32.3,44,38,11,27,30,82,31,0,Matches,1ac232b8
49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,81,46,49,30,2,34,60,56.7,26,45,20,25,42,123,89,3,Matches,19e4eab9
50,Valon Behrami,ch SUI,MFFW,Genoa,36,1985,3.5,3,1,0,2,1,0,7,0.0,7,4,1,3,1,4,4,0,Matches,d3d758d8
51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches,4f8ce0e1
52,Raoul Bellanova,it ITA,DFFW,Cagliari,21,2000,27.7,29,15,14,12,3,6,27,22.2,21,39,8,31,21,50,51,0,Matches,e3756e72
53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,7,3,2,2,3,3,12,25.0,9,12,4,8,2,9,9,0,Matches,d705ba44
54,Marco Benassi,it ITA,DFMF,Fiorentina,26,1994,1.8,1,0,1,0,0,1,2,50.0,1,3,0,3,3,4,3,0,Matches,0000acda
55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,6,3,3,2,1,1,10,10.0,9,4,0,4,3,9,6,0,Matches,0000acda
56,Filip Benković,hr CRO,DFFW,Udinese,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,305a3820
57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,44,30,22,15,7,21,50,42.0,29,20,4,16,25,69,15,0,Matches,db092d3b
58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,32,18,11,18,3,7,20,35.0,13,15,2,13,26,58,15,1,Matches,3b8674e6
59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ec1f737d
60,Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,32,19,9,16,7,15,57,26.3,42,39,2,37,31,63,23,0,Matches,53a0e358
61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,64,38,34,25,5,37,80,46.3,43,38,12,26,42,106,73,1,Matches,61b3978f
62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,ee833569
63,Federico Bernardeschi,it ITA,MFFW,Juventus,27,1994,16.4,16,10,7,4,5,6,13,46.2,7,12,4,8,5,21,15,0,Matches,ee93c1a9
64,Nicolò Bertola,it ITA,MFDF,Spezia,18,2003,0.4,3,2,3,0,0,3,4,75.0,1,0,0,0,3,6,1,0,Matches,04b40c58
65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,7,2,3,3,1,4,15,26.7,11,13,3,10,5,12,11,0,Matches,88895312
66,Beto,gw GNB,FW,Udinese,23,1998,24.1,21,6,2,14,5,9,19,47.4,10,16,1,15,5,26,25,1,Matches,ed5c0319
67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,8,4,7,1,0,4,6,66.7,2,6,5,1,17,25,33,1,Matches,36e88fbc
68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,37,24,17,15,5,22,53,41.5,31,28,10,18,19,56,31,1,Matches,9e1577aa
69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,31,16,19,9,3,17,24,70.8,7,16,9,7,16,47,26,0,Matches,64cd167d
70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,f1d25de7
71,Jeremie Boga,ci CIV,FWMF,Atalanta,24,1997,8.5,7,3,0,4,3,4,6,66.7,2,6,0,6,1,8,3,1,Matches,fe012aca
