,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
521,Arnór Sigurðsson,is ISL,FWMF,Venezia,22,1999,9,0,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.06,0.03,0.09,0.06,0.09,Matches,f209b81e
522,Adrien Silva,pt POR,MF,Sampdoria,32,1989,17,12,1083,12.0,0,1,0,0,0,3,1,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.5,0.9,0.03,0.04,0.07,0.03,0.07,Matches,d6f88a1d
523,Marco Silvestri,it ITA,GK,Udinese,30,1991,35,35,3150,35.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,0d422df7
524,Giovanni Simeone,ar ARG,FW,Hellas Verona,26,1995,35,32,2653,29.5,17,5,17,0,1,8,0,0.58,0.17,0.75,0.58,0.75,11.5,10.7,3.6,14.3,0.39,0.12,0.51,0.36,0.48,Matches,343c0d52
525,Giovanni Simeone,ar ARG,FW,Cagliari,26,1995,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,343c0d52
526,Wilfried Singo,ci CIV,DF,Torino,20,2000,35,32,2607,29.0,3,4,3,0,0,5,1,0.10,0.14,0.24,0.10,0.24,3.4,3.4,2.6,5.9,0.12,0.09,0.20,0.12,0.20,Matches,8b609c34
527,Salvatore Sirigu,it ITA,GK,Genoa,34,1987,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,10dc46f0
528,Leo Skiri Østigård,no NOR,DF,Genoa,21,1999,15,13,1172,13.0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.03,0.02,0.05,0.03,0.05,Matches,b35a7399
529,Łukasz Skorupski,pl POL,GK,Bologna,30,1991,36,36,3240,36.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ab4449d6
530,Andreas Skov Olsen,dk DEN,FWDF,Bologna,21,1999,18,6,747,8.3,0,2,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.9,0.9,0.4,1.3,0.10,0.05,0.16,0.10,0.16,Matches,c50cee19
