,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,956a78ea
33,Nedim Bajrami,al ALB,MFFW,Empoli,22,1999,22.8,103,4.51,66,21,8,5,1,2,7,0.31,5,1,0,1,0,0,Matches,f42d6c13
34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,7,1.26,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,59bf127b
35,Tommaso Baldanzi,it ITA,FW,Empoli,18,2003,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,102e2599
36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,23,1.68,14,0,1,4,3,1,2,0.15,1,0,0,0,1,0,Matches,509a4ccb
37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,13,2.62,11,0,1,0,1,0,2,0.40,2,0,0,0,0,0,Matches,f449640d
38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,58,2.67,45,4,3,3,1,2,4,0.18,4,0,0,0,0,0,Matches,d44360be
39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,6,0.45,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,0821331c
40,Antonín Barák,cz CZE,MFFW,Hellas Verona,26,1994,26.0,69,2.65,56,1,4,6,2,0,9,0.35,6,0,1,1,1,0,Matches,01efac19
41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0acda699
42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,140,4.32,114,0,10,6,6,4,21,0.65,18,0,1,1,1,0,Matches,6928979a
43,Musa Barrow,gm GAM,FWMF,Bologna,22,1998,23.7,87,3.67,65,11,3,4,4,0,10,0.42,8,1,0,1,0,0,Matches,e5bf73f3
44,Daniele Baselli,it ITA,MFFW,Torino,29,1992,1.7,2,1.23,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ea06dd97
45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,15,4.69,8,3,0,2,0,2,1,0.31,0,1,0,0,0,0,Matches,ea06dd97
46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,9,0.83,5,1,1,2,0,0,3,0.28,1,1,0,1,0,0,Matches,80556f08
47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,44,1.71,38,0,2,2,0,2,5,0.19,5,0,0,0,0,0,Matches,75b86fb3
48,Simone Bastoni,it ITA,MFDF,Spezia,24,1996,25.4,80,3.15,48,22,3,4,1,2,5,0.20,3,1,0,1,0,0,Matches,1ac232b8
49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,28,0.81,19,3,1,0,3,2,2,0.06,1,0,0,0,0,1,Matches,19e4eab9
50,Valon Behrami,ch SUI,MFFW,Genoa,36,1985,3.5,5,1.45,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches,d3d758d8
51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4f8ce0e1
52,Raoul Bellanova,it ITA,DFFW,Cagliari,21,2000,27.7,67,2.42,53,1,3,2,5,3,8,0.29,8,0,0,0,0,0,Matches,e3756e72
53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,39,2.56,18,2,2,7,10,0,4,0.26,1,0,1,0,2,0,Matches,d705ba44
54,Marco Benassi,it ITA,DFMF,Fiorentina,26,1994,1.8,2,1.13,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,0000acda
55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,7,1.65,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,0000acda
56,Filip Benković,hr CRO,DFFW,Udinese,24,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,305a3820
57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,61,3.60,44,7,4,1,3,2,3,0.18,3,0,0,0,0,0,Matches,db092d3b
58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,34,2.65,28,1,0,3,0,2,3,0.23,2,0,0,1,0,0,Matches,3b8674e6
59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ec1f737d
60,Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,169,5.39,125,22,8,3,8,3,22,0.70,17,2,1,0,2,0,Matches,53a0e358
61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,53,1.62,39,6,4,2,2,0,7,0.21,4,2,1,0,0,0,Matches,61b3978f
62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ee833569
63,Federico Bernardeschi,it ITA,MFFW,Juventus,27,1994,16.4,60,3.66,38,5,6,8,3,0,4,0.24,3,0,0,1,0,0,Matches,ee93c1a9
64,Nicolò Bertola,it ITA,MFDF,Spezia,18,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,04b40c58
65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,27,3.16,25,0,0,1,0,1,4,0.47,4,0,0,0,0,0,Matches,88895312
66,Beto,gw GNB,FW,Udinese,23,1998,24.1,49,2.03,31,0,7,9,2,0,3,0.12,1,0,0,2,0,0,Matches,ed5c0319
67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,2,0.28,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,36e88fbc
68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,127,3.62,64,55,0,6,1,1,8,0.23,5,3,0,0,0,0,Matches,9e1577aa
69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,6,0.58,4,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,64cd167d
70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f1d25de7
71,Jeremie Boga,ci CIV,FWMF,Atalanta,24,1997,8.5,50,5.89,32,6,6,3,2,1,0,0.00,0,0,0,0,0,0,Matches,fe012aca
72,Jeremie Boga,ci CIV,FWMF,Sassuolo,24,1997,7.4,24,3.22,16,0,5,1,2,0,4,0.54,2,0,1,0,1,0,Matches,fe012aca
73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cb678320
74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,24,3.09,14,7,2,0,1,0,1,0.13,0,1,0,0,0,0,Matches,c83c203f
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,84,3.34,69,1,3,5,5,1,13,0.52,9,0,0,2,2,0,Matches,d995ed27
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,24,1997,20.7,39,1.88,24,0,1,6,6,2,1,0.05,1,0,0,0,0,0,Matches,bf57eaab
77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,15,1.12,9,0,1,2,0,3,3,0.22,1,0,0,1,0,1,Matches,fb77bfef
78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,19,0.85,17,0,0,1,0,1,2,0.09,2,0,0,0,0,0,Matches,52ec54d0
79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,5,1.61,3,0,2,0,0,0,2,0.64,0,0,2,0,0,0,Matches,0d077b88
80,Edoardo Bove,it ITA,MFDF,Roma,19,2002,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ae94a6c5
81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,119,4.68,79,23,7,7,3,0,9,0.35,6,1,2,0,0,0,Matches,d4a2533d
82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,25,0.78,14,1,0,6,0,4,2,0.06,1,0,0,1,0,0,Matches,5fd5ed86
83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,95,2.91,86,2,1,2,1,3,11,0.34,11,0,0,0,0,0,Matches,33b8d077
84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,59f2d958
85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,11,0.84,6,0,0,2,1,2,3,0.23,2,0,0,1,0,0,Matches,4ae67f27
86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,37,1.71,24,8,0,1,3,1,3,0.14,2,1,0,0,0,0,Matches,4a0b7f07
87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,4,1.89,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e34e086c
88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,5,0.96,3,1,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches,dd86e8e4
89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,15,1.62,12,0,0,2,0,1,1,0.11,1,0,0,0,0,0,Matches,e94d79e3
90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,9,2.85,6,0,0,1,2,0,3,0.95,2,0,0,0,1,0,Matches,93b891d1
91,Felipe Caicedo,ec ECU,FWDF,Inter,32,1988,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,93b891d1
92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,47,2.00,32,4,3,6,2,0,6,0.25,3,0,0,3,0,0,Matches,2146785a
93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,1.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,aded8e6f
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,3,1.57,2,0,1,0,0,0,2,1.05,1,0,1,0,0,0,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,22,0.73,9,1,0,5,4,3,3,0.10,0,0,0,1,1,1,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,169,6.12,97,53,2,11,4,2,19,0.69,10,7,0,1,1,0,Matches,cd0fa27b
97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,47,3.25,32,10,1,3,1,0,4,0.28,4,0,0,0,0,0,Matches,78841da9
