name,population
Macedonia city,264
Macksburg city,102
Madrid city,"2,802"
Magnolia city,190
Maharishi Vedic City city,272
Malcom city,262
Mallard city,255
Maloy city,25
Malvern city,"1,040"
Manchester city,"5,179"
Manilla city,753
Manly city,"1,237"
Manning city,"1,431"
Manson city,"1,657"
Mapleton city,"1,129"
Maquoketa city,"6,054"
Marathon city,223
Marble Rock city,265
Marcus city,"1,058"
Marengo city,"2,417"
Marion city,"41,864"
Marne city,108
Marquette city,432
Marshalltown city,"27,433"
Martelle city,247
Martensdale city,413
Martinsburg city,109
Marysville city,47
Mason City city,"26,924"
Masonville city,99
Massena city,354
Matlock city,78
Maurice city,267
Maxwell city,853
Maynard city,470
Maysville city,155
McCallsburg city,355
McCausland city,311
McClelland city,146
McGregor city,734
McIntire city,115
Mechanicsville city,"1,000"
Mediapolis city,"1,662"
Melbourne city,772
Melcher-Dallas city,"1,181"
Melrose city,110
Melvin city,196
Menlo city,338
Meriden city,160
Merrill city,713
Meservey city,213
Meyer CDP,16
Middle Amana CDP,799
Middletown city,361
Miles city,402
Milford city,"3,364"
Miller CDP,40
Millersburg city,136
Millerton city,39
Milo city,764
Milton city,396
Minburn city,321
Minden city,593
Mineola CDP,91
Mingo city,306
Missouri Valley city,"2,677"
Mitchell city,119
Mitchellville city,"2,493"
Modale city,280
Mona CDP,36
Mondamin city,338
Monmouth city,126
Monona city,"1,464"
Monroe city,"2,011"
Montezuma city,"1,434"
Monticello city,"4,077"
Montour city,199
Montpelier CDP,153
Montrose city,729
Mooar CDP,305
Moorhead city,189
Moorland city,170
Moravia city,626
Morley city,96
Morning Sun city,733
Morrison city,97
Moscow CDP,280
Moulton city,599
Mount Auburn city,160
Mount Ayr city,"1,634"
Mount Pleasant city,"9,132"
Mount Sterling CDP,25
Mount Union CDP,119
Mount Vernon city,"4,501"
Moville city,"1,670"
Murray city,646
Muscatine city,"23,413"
Mystic city,321
Nashua city,"1,508"
Nemaha city,66
Neola city,908
Nevada city,"6,961"
New Albin city,427
New Hampton city,"3,416"
New Hartford city,563
New Haven CDP,48
New Liberty city,137
New London city,"1,880"
New Market city,381
New Providence city,234
New Sharon city,"1,252"
New Vienna city,375
New Virginia city,493
Newell city,878
Newhall city,882
Newton city,"15,688"
Nichols city,330
Nodaway city,73
Nora Springs city,"1,345"
North Buena Vista city,109
North English city,"1,048"
North Liberty city,"21,399"
North Washington city,108
Northboro city,54
Northwood city,"2,051"
Norwalk city,"14,177"
Norway city,466
Numa city,70
Oak Hills CDP,144
Oakland Acres city,177
Oakland city,"1,505"
Oakville city,195
Ocheyedan city,426
Odebolt city,979
Oelwein city,"5,834"
Ogden city,"1,981"
Okoboji city,752
Olds city,190
Olin city,661
Ollie city,198
Onawa city,"2,814"
Onslow city,201
Orange City city,"6,286"
Orchard city,66
Orient city,362
Orleans city,516
Osage city,"3,559"
Osceola city,"5,568"
Oskaloosa city,"11,482"
Ossian city,787
Osterdock city,44
Otho city,418
Oto city,71
Otranto CDP,14
Ottosen city,40
Ottumwa city,"25,175"
Owasa city,29
Oxford Junction city,429
Oxford city,717
Oyens city,91
Pacific Junction city,100
Packwood city,184
Palmer city,138
Palo city,"1,419"
Panama city,231
Panora city,"1,082"
Panorama Park city,141
Park View CDP,"2,870"
Parkersburg city,"2,002"
Parnell city,195
Paton city,221
Patterson city,175
Paullina city,966
Pella city,"10,744"
Peosta city,"2,063"
Percival CDP,81
Perry city,"8,008"
Persia city,295
Peterson city,321
Pierson city,332
Pilot Mound city,156
Pioneer city,19
Pisgah city,245
Plainfield city,393
