,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
174,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,68,37,34,20,14,21,69,30.4,48,58,9,49,29,97,26,0,Matches,c2731c10
175,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,17,2004,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,7aa8adfe
176,Dwight Gayle,eng ENG,FWDF,Newcastle Utd,30,1990,0.4,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches,e58a03c6
177,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,1,1,1,0,0,0,2,0.0,2,0,0,0,1,2,1,0,Matches,6bd603db
178,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,2,Matches,7ba6d84e
179,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,4,3,1,0,3,2,10,20.0,8,9,0,9,0,4,3,0,Matches,01962d0d
180,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,4,4,2,2,0,2,7,28.6,5,6,0,6,1,5,2,0,Matches,ffa90327
181,Anwar El Ghazi,nl NED,FWMF,Everton,26,1995,0.1,1,1,1,0,0,1,1,100.0,0,3,0,3,0,1,0,0,Matches,ffa90327
182,Saman Ghoddos,ir IRN,MFDF,Brentford,27,1993,6.0,17,10,8,6,3,9,15,60.0,6,2,0,2,3,20,16,0,Matches,f7b1d4e0
183,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13.0,36,21,17,17,2,24,36,66.7,12,22,6,16,19,55,41,1,Matches,112c495e
184,Morgan Gibbs-White,eng ENG,DFFW,Wolves,21,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,32f60ed8
185,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,23,16,17,6,0,7,12,58.3,5,36,30,6,27,50,139,2,Matches,bcfb0142
186,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,41,21,16,21,4,14,52,26.9,38,21,4,17,17,58,29,0,Matches,df10e27c
187,Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,47,32,29,14,4,24,39,61.5,15,41,19,22,15,62,100,2,Matches,9f7c837d
188,André Gomes,pt POR,MF,Everton,28,1993,6.9,16,4,6,6,4,8,32,25.0,24,8,2,6,1,17,7,1,Matches,1961b2aa
189,Toti Gomes,pt POR,DF,Wolves,22,1999,4.0,11,7,10,1,0,7,9,77.8,2,6,3,3,8,19,15,0,Matches,f0caab96
190,Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,10,6,5,2,3,5,9,55.6,4,4,1,3,5,15,6,0,Matches,7a11550b
191,Charlie Goode,eng ENG,DF,Brentford,25,1995,5.0,7,5,5,2,0,4,4,100.0,0,4,2,2,2,9,8,0,Matches,7aee4dd3
192,Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,54,32,20,30,4,21,59,35.6,38,49,3,46,22,76,17,0,Matches,2bd83368
193,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches,19a9cb70
194,Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,2,1,1,1,0,2,6,33.3,4,2,0,2,0,2,3,0,Matches,7fec31a0
195,Demarai Gray,eng ENG,MFFW,Everton,25,1996,26.0,30,19,13,10,7,10,22,45.5,12,30,2,28,15,45,21,1,Matches,4468ec10
196,Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,18,17,4,10,4,5,13,38.5,8,11,1,10,8,26,7,0,Matches,b0b4fd3e
197,Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,15,9,9,1,5,3,9,33.3,6,5,0,5,1,16,6,0,Matches,58eee997
198,Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,8,5,0,5,3,4,7,57.1,3,3,0,3,2,10,1,0,Matches,f3354c07
199,Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,28,15,15,11,2,12,33,36.4,21,34,8,26,18,46,23,0,Matches,8aec0537
200,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,8,1,Matches,ab13a5aa
201,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,35,17,24,10,1,15,16,93.8,1,34,26,8,30,65,127,0,Matches,d0706b27
202,Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,44,23,18,22,4,21,38,55.3,17,25,6,19,9,53,13,0,Matches,82518f62
203,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,23,9,10,12,1,12,31,38.7,19,11,1,10,15,38,10,0,Matches,819b3158
204,Angus Gunn,eng ENG,GK,Norwich City,25,1996,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,0,Matches,e082af5b
205,Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,44,25,28,14,2,18,35,51.4,17,56,45,11,56,100,176,2,Matches,e9254eec
206,Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,57,37,22,22,13,31,76,40.8,45,35,1,34,21,78,19,0,Matches,aa849a12
207,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,3,3,2,0,1,3,4,75.0,1,8,5,3,6,9,13,0,Matches,bf8fad51
208,Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,17,8,5,7,5,4,14,28.6,10,28,1,27,4,21,32,1,Matches,fed7cb61
209,Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,28,14,11,14,3,12,29,41.4,17,17,8,9,14,42,24,0,Matches,c951a6df
210,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,27,13,9,16,2,14,44,31.8,30,10,0,10,13,40,7,1,Matches,169fd162
211,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,36,20,9,25,2,17,44,38.6,27,25,1,24,23,59,14,0,Matches,935e6b8f
212,Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,989d5705
213,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1,Matches,76eca7e2
214,Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,28,20,18,8,2,12,34,35.3,22,31,10,21,26,54,76,1,Matches,8a3c1dc7
215,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,33.4,15,6,5,7,3,5,23,21.7,18,27,6,21,13,28,8,0,Matches,92e7e919
216,Ki-Jana Hoever,nl NED,DFMF,Wolves,19,2002,3.4,10,6,5,5,0,7,12,58.3,5,6,0,6,6,16,8,0,Matches,9a71e978
217,Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,13,9,11,1,1,5,6,83.3,1,23,18,5,10,23,42,1,Matches,d79a8c87
218,Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,35,18,26,9,0,11,26,42.3,15,25,17,8,26,61,95,1,Matches,d0042ab9
219,Callum Hudson-Odoi,eng ENG,MFFW,Chelsea,20,2000,10.7,14,10,5,6,3,8,23,34.8,15,8,0,8,2,16,6,1,Matches,15f3ec41
220,Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,29,14,10,16,3,7,16,43.8,9,13,7,6,8,37,10,0,Matches,a0666d3e
221,Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,78,45,31,38,9,38,85,44.7,47,61,13,48,48,126,54,0,Matches,8b04d6c1
222,Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,9,6,2,5,2,2,3,66.7,1,4,2,2,3,12,7,0,Matches,291e3ec3
223,Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14.0,10,7,2,5,3,3,14,21.4,11,19,0,19,4,14,10,0,Matches,c92e1a31
224,Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,23,16,2,16,5,13,37,35.1,24,31,2,29,6,29,22,0,Matches,07802f7f
225,Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1.0,5,4,2,3,0,1,1,100.0,0,0,0,0,2,7,1,0,Matches,84c5ceea
226,Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,40,19,23,12,5,21,52,40.4,31,39,3,36,20,60,25,2,Matches,6ca5ec4b
227,Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,2,1,0,2,0,0,0,,0,2,0,2,0,2,1,0,Matches,c931d9f9
228,Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,24,14,8,8,8,10,23,43.5,13,18,1,17,8,32,12,0,Matches,c931d9f9
229,Reece James,eng ENG,DF,Chelsea,21,1999,20.7,33,25,14,18,1,9,22,40.9,13,20,2,18,17,50,22,0,Matches,1265a93a
230,Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,61,32,26,27,8,27,53,50.9,26,23,7,16,28,89,35,0,Matches,8449d35e
231,Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,40,21,32,8,0,22,34,64.7,12,37,27,10,52,92,187,0,Matches,172e52d8
232,Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,33,18,12,16,5,22,63,34.9,41,32,3,29,22,55,13,0,Matches,0f134faf
233,Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,18,12,2,4,12,6,26,23.1,20,18,0,18,15,33,8,0,Matches,b66315ae
234,Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,29,14,6,16,7,6,30,20.0,24,31,5,26,13,42,26,0,Matches,b561db50
235,João Pedro,br BRA,FWMF,Watford,19,2001,18.3,20,14,7,8,5,6,23,26.1,17,23,3,20,15,35,17,0,Matches,e8832875
236,Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,72,38,30,33,9,26,61,42.6,35,47,11,36,34,106,50,2,Matches,c17bfb65
237,Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,33,16,15,15,3,21,28,75.0,7,16,8,8,22,55,55,0,Matches,9319781b
238,Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,11,9,3,6,2,1,10,10.0,9,4,0,4,6,17,4,0,Matches,4fb9c88f
239,Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,5,5,3,1,1,2,3,66.7,1,4,4,0,3,8,8,0,Matches,def899bd
240,Jorginho,it ITA,MF,Chelsea,29,1991,25.3,64,33,27,31,6,29,83,34.9,54,27,4,23,36,100,21,1,Matches,45db685d
241,Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,39,18,12,18,9,13,55,23.6,42,19,2,17,6,45,6,0,Matches,178ae8f8
242,James Justin,eng ENG,DF,Leicester City,23,1998,11.1,22,13,11,8,3,7,15,46.7,8,16,4,12,17,39,34,0,Matches,fb614c44
243,Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,10,4,3,5,2,7,10,70.0,3,6,1,5,10,20,13,0,Matches,0db5d2c8
244,Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,10,5,4,6,0,5,9,55.6,4,19,11,8,16,26,26,0,Matches,2d61d13a
245,Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,11,5,10,1,0,7,10,70.0,3,20,16,4,14,25,67,1,Matches,914ab9a1
246,Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,2,2,0,2,0,1,1,100.0,0,2,0,2,3,5,3,0,Matches,b8d22478
247,Hassane Kamara,ci CIV,DF,Watford,27,1994,18.0,53,34,31,16,6,27,43,62.8,16,20,4,16,69,122,67,0,Matches,19a12bed
248,Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,15,5,2,10,3,7,18,38.9,11,26,8,18,3,18,39,0,Matches,21a66f6a
249,N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,59,31,20,27,12,25,40,62.5,15,37,2,35,31,90,8,0,Matches,b9fbae28
250,Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,21,13,11,9,1,8,16,50.0,8,6,1,5,9,30,13,0,Matches,f99b71de
251,Moise Kean,it ITA,FW,Everton,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3d50bcdb
252,Michael Keane,eng ENG,DF,Everton,28,1993,31.0,46,25,32,13,1,28,45,62.2,17,33,28,5,62,108,128,2,Matches,c5b7c315
253,Naby Keïta,gn GUI,MF,Liverpool,26,1995,13.0,46,23,17,19,10,26,42,61.9,16,33,2,31,14,60,8,0,Matches,f25c8e3a
254,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,62d7ef38
255,Kenedy,br BRA,DF,Chelsea,25,1996,0.6,5,2,1,2,2,2,3,66.7,1,0,0,0,0,5,0,0,Matches,5eebbfdf
256,Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,17,7,11,6,0,13,21,61.9,8,8,1,7,20,37,31,0,Matches,099e666f
257,Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,50,26,38,10,2,24,37,64.9,13,36,21,15,45,95,113,3,Matches,d0f72bf1
258,Joshua King,no NOR,FW,Watford,29,1992,25.0,19,15,7,6,6,4,17,23.5,13,15,4,11,8,27,31,0,Matches,43458538
259,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3f70db80
260,Mateusz Klich,pl POL,MF,Leeds United,31,1990,23.0,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0,Matches,282679b4
261,Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0,Matches,ea6bc03a
262,Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0,Matches,3935e52e
263,Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11.0,16,10,9,6,1,7,10,70.0,3,13,9,4,16,32,37,1,Matches,5ed9b537
264,Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,25,15,13,11,1,10,13,76.9,3,31,22,9,15,40,86,2,Matches,0313a347
265,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,52,38,28,22,2,18,39,46.2,21,40,14,26,38,90,39,0,Matches,8d3c902d
266,Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,51,31,14,26,11,17,35,48.6,18,19,4,15,7,58,9,1,Matches,79c0821a
267,Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,37,16,25,11,1,27,36,75.0,9,16,10,6,25,62,56,0,Matches,77cf6852
268,Alex Král,cz CZE,MF,West Ham,23,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,e717705a
269,Tim Krul,nl NED,GK,Norwich City,33,1988,29.0,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,10,4,Matches,f23f9d20
270,Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,59,39,32,25,2,27,73,37.0,46,30,9,21,27,86,46,2,Matches,5aaef9ef
271,Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14.0,19,13,7,10,2,5,23,21.7,18,14,0,14,13,32,3,0,Matches,df3cda47
272,Alexandre Lacazette,fr FRA,FW,Arsenal,30,1991,19.8,27,10,8,13,6,7,21,33.3,14,12,1,11,5,32,6,0,Matches,9dbb75ca
273,Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,34,17,14,14,6,12,41,29.3,29,16,6,10,16,50,13,1,Matches,99813635
274,Tariq Lamptey,gh GHA,DFFW,Brighton,20,2000,17.3,36,25,14,17,5,15,25,60.0,10,13,3,10,21,57,23,0,Matches,f4e433d4
275,Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,28,15,10,11,7,10,35,28.6,25,16,0,16,19,47,10,0,Matches,26f6dca8
276,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,33,15,22,10,1,14,20,70.0,6,15,10,5,20,53,64,2,Matches,119b9a8e
277,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,15,7,9,5,1,4,12,33.3,8,38,28,10,22,37,121,1,Matches,450ab6fc
278,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,58,36,23,29,6,25,92,27.2,67,37,11,26,25,83,23,0,Matches,f5044e54
279,Aaron Lennon,eng ENG,MFFW,Burnley,34,1987,17.2,33,17,10,13,10,10,34,29.4,24,26,4,22,9,42,14,0,Matches,2ff964a0
280,Bernd Leno,de GER,GK,Arsenal,29,1992,4.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,2628fd2b
281,Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,8,6,6,1,1,3,4,75.0,1,3,2,1,3,11,8,0,Matches,efb9215a
282,Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,16,11,9,7,0,9,14,64.3,5,26,17,9,25,41,96,0,Matches,f5deef4c
283,Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,9,7,4,3,2,2,6,33.3,4,4,0,4,0,9,1,0,Matches,810e3c74
284,Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,54,28,30,18,6,27,45,60.0,18,23,9,14,47,101,50,1,Matches,afed6722
285,Diego Llorente,es ESP,DF,Leeds United,27,1993,26.0,53,31,32,19,2,33,47,70.2,14,35,17,18,40,93,77,2,Matches,bba30585
286,Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,24,3,Matches,8f62b6ee
287,Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,8,4,4,2,2,4,10,40.0,6,6,1,5,1,9,0,1,Matches,d7553721
288,Jürgen Locadia,nl NED,MFFW,Brighton,27,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6cc47ae1
289,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,29,10,16,11,2,10,19,52.6,9,15,6,9,11,40,17,0,Matches,e97fd090
290,Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,3,2,1,2,0,1,2,50.0,1,4,1,3,1,4,20,0,Matches,5a4280b1
291,Shane Long,ie IRL,FW,Southampton,34,1987,3.4,9,5,2,4,3,1,1,100.0,0,4,0,4,0,9,2,0,Matches,9f472354
292,Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,54,34,18,31,5,24,65,36.9,41,18,6,12,9,63,18,0,Matches,a2b105e0
293,Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,32,14,10,13,9,10,28,35.7,18,19,1,18,10,42,4,0,Matches,7c104bb7
294,Jonas Lössl,dk DEN,GK,Brentford,32,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,939bc634
295,Imran Louza,ma MAR,MF,Watford,22,1999,15.7,41,21,18,20,3,16,38,42.1,22,28,6,22,42,83,20,1,Matches,e1df6989
296,Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,38,24,20,10,8,20,37,54.1,17,25,11,14,26,64,68,0,Matches,9a9c05db
297,Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,59,39,30,24,5,21,72,29.2,51,30,7,23,34,93,28,1,Matches,6f7d826d
298,Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,2,1,0,1,1,1,5,20.0,4,11,1,10,0,2,20,0,Matches,5eae500a
299,Lyanco,br BRA,DF,Southampton,24,1997,10.1,18,15,11,7,0,10,18,55.6,8,18,13,5,13,31,50,1,Matches,b5bf1770
300,Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,65,40,23,30,12,29,68,42.6,39,37,7,30,13,78,22,0,Matches,83d074ff
301,James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,40,20,8,24,8,14,46,30.4,32,18,3,15,11,51,12,0,Matches,ee38d9c5
302,Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,34,21,22,8,4,19,31,61.3,12,36,29,7,32,66,101,3,Matches,d8931174
303,Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,11,3,5,4,2,5,19,26.3,14,15,1,14,6,17,6,0,Matches,892d5bb1
304,Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3.0,8,4,5,3,0,2,4,50.0,2,2,0,2,4,12,4,0,Matches,e3a5814e
305,Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,33,20,7,14,12,8,26,30.8,18,30,1,29,8,41,15,0,Matches,c691bfe2
306,Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14.0,39,29,28,10,1,21,36,58.3,15,15,6,9,10,49,32,0,Matches,758dd7f0
307,Fernando Marçal,br BRA,MFDF,Wolves,32,1989,16.1,42,22,27,14,1,21,37,56.8,16,25,4,21,28,70,52,0,Matches,9ae9eaea
308,Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,30,17,11,9,10,7,22,31.8,15,22,3,19,17,47,25,0,Matches,bb5fbd2b
309,Pablo Marí,es ESP,DF,Arsenal,27,1993,2.0,5,3,1,3,1,3,6,50.0,3,5,4,1,3,8,10,0,Matches,aa54ec6f
310,Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches,8b788c01
311,Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,27,19,7,14,6,10,29,34.5,19,26,1,25,20,47,15,0,Matches,48a5a5d6
312,Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,6,1,Matches,7956236f
313,Adam Masina,ma MAR,DF,Watford,27,1994,12.0,24,13,11,10,3,12,29,41.4,17,18,6,12,18,42,45,0,Matches,de0f152c
314,Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,31,23,19,11,1,14,23,60.9,9,9,1,8,9,40,17,0,Matches,57df7a11
315,Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,6,4,2,3,1,3,5,60.0,2,1,0,1,1,7,1,0,Matches,29733c72
316,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,8,4,2,5,1,3,18,16.7,15,11,3,8,4,12,13,0,Matches,50e6dc35
317,Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,31,18,19,11,1,15,31,48.4,16,21,6,15,31,62,21,3,Matches,eb7822d7
318,Joël Matip,cm CMR,DF,Liverpool,29,1991,31.0,47,34,23,19,5,20,31,64.5,11,26,14,12,44,91,93,1,Matches,b217ef29
319,Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,17,10,2,6,9,4,18,22.2,14,21,2,19,2,19,2,0,Matches,4bcf39f6
320,Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,32.3,28,16,1,12,15,6,20,30.0,14,21,6,15,11,39,20,0,Matches,6afaebf2
321,James McArthur,sct SCO,MF,Crystal Palace,33,1987,16.0,33,23,13,19,1,16,44,36.4,28,23,9,14,30,63,27,0,Matches,cee31595
322,James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches,96593e89
323,Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,b2c66859
324,Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,076bb352
325,Alex McCarthy,eng ENG,GK,Southampton,31,1989,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,36c2ca73
326,John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,106,64,35,55,16,54,104,51.9,50,53,6,47,35,141,34,0,Matches,90f91999
327,Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1000a059
328,Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,42,22,18,20,4,17,59,28.8,42,29,7,22,34,76,54,0,Matches,471f16b3
329,Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,78,49,27,38,13,33,73,45.2,40,64,11,53,35,113,31,1,Matches,fc15fb84
330,Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,65,33,32,24,9,30,61,49.2,31,45,10,35,31,96,60,1,Matches,d93c2511
331,Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,26,12,16,7,3,12,19,63.2,7,28,22,6,24,50,94,1,Matches,8df7a2fb
332,Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,ca22ccb0
333,Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,2,2,1,1,0,2,6,33.3,4,0,0,0,0,2,0,0,Matches,5271c8f1
334,Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,13,4,Matches,33887998
335,Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,12,6,8,4,0,6,17,35.3,11,7,4,3,11,23,11,1,Matches,1598599e
336,Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,27,1,Matches,6b625ac2
337,Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,8.6,18,9,9,6,3,10,16,62.5,6,6,1,5,11,29,15,0,Matches,2ce2508a
338,James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,28,16,12,11,5,12,29,41.4,17,19,5,14,17,45,20,0,Matches,2f90f6b8
339,Yerry Mina,co COL,DF,Everton,26,1994,9.4,12,10,12,0,0,10,13,76.9,3,13,9,4,11,23,38,1,Matches,6d5701f2
340,Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,3,2,1,1,1,2,8,25.0,6,2,0,2,1,4,2,0,Matches,f833a830
341,Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,23,12,17,3,3,14,22,63.6,8,47,30,17,46,69,153,2,Matches,8397a50c
342,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,104,57,67,26,11,46,67,68.7,21,47,5,42,41,145,101,0,Matches,5cbd1eb0
343,Jakub Moder,pl POL,MF,Brighton,22,1999,18.9,42,25,18,17,7,23,42,54.8,19,25,2,23,10,52,22,1,Matches,f230bc30
344,Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,bfae110f
345,Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,0,0,Matches,2bc28bb9
346,Mason Mount,eng ENG,MF,Chelsea,22,1999,26.3,41,16,10,17,14,10,34,29.4,24,18,1,17,13,54,12,0,Matches,9674002f
347,Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,25,10,7,14,4,8,35,22.9,27,19,0,19,18,43,19,0,Matches,2b622f01
348,João Moutinho,pt POR,MF,Wolves,34,1986,33.0,74,39,34,27,13,30,106,28.3,76,48,8,40,34,108,36,2,Matches,f5a00fa4
