zipcode,median_income
13750,37750
13751,37917
13752,43167
13753,49693
13754,44282
13755,33393
13756,46198
13757,52056
13760,52598
13774,71071
13775,47750
13776,50625
13777,53125
13778,55410
13780,47163
13782,47292
13783,39342
13784,38125
13786,51797
13787,39634
13788,51382
13790,39803
13794,84375
13795,50299
13796,51875
13797,48533
13801,36691
13802,56071
13803,55195
13804,54432
13806,62955
13807,56136
13808,48068
13809,50069
13810,34688
13811,52500
13812,48359
13813,42768
13815,44647
13820,44614
13825,50515
13827,59730
13830,46742
13832,33415
13833,47399
13835,44750
13838,34753
13839,44000
13841,43250
13842,77778
13843,44178
13844,41750
13846,45625
13849,42226
13850,61546
13856,38086
13859,63021
13862,59963
13863,56094
13864,39057
13865,60399
13901,41921
13903,41556
13904,41738
13905,35046
14001,54698
14004,66089
14005,59318
14006,53642
14008,55625
14009,44464
14011,60307
14012,52045
14013,48833
14020,44864
14024,59338
14025,62073
14026,79563
14028,60625
14030,56932
14031,69530
14032,99194
14033,86708
14034,55000
14036,55744
14037,68056
14039,48750
14040,63214
14041,47000
14042,35156
14043,51318
14047,58148
14048,40804
14051,107500
14052,75750
14054,55375
14055,63242
14057,63497
14058,67155
14059,78322
14061,59545
14062,50469
14063,49596
14065,42143
14066,50455
14067,48246
14068,59262
14069,41042
14070,42575
14072,78597
14075,62963
14080,61920
14081,57019
14082,44063
14085,85536
14086,77999
14091,61304
14092,67500
14094,51787
14098,54148
14101,53125
14102,95083
14103,45235
14105,62985
14108,50352
14111,54940
14113,41359
14120,56089
14125,54022
14126,55893
14127,84798
14129,43603
14130,47679
14131,68869
14132,60595
14134,83594
14135,43250
14136,43882
14138,47803
14139,71250
14141,51194
14143,54758
14145,56333
14150,51302
14167,59306
14169,32407
14170,68333
14171,44495
14172,56591
14173,34598
14174,66597
14201,25551
14202,42336
14203,31892
14204,26269
14206,35662
14207,24593
14208,24036
14209,31688
14210,33821
14211,23881
14212,23438
14213,28365
14214,39433
14215,31527
14216,50781
14217,50434
14218,36628
14219,48702
14220,47088
14221,77511
14222,52066
14223,59326
14224,59875
14225,47693
14226,61930
14227,48941
14228,48343
14301,21413
14303,29916
14304,50072
14305,32211
14411,41820
14414,57273
14415,37708
14416,49583
14418,59236
14420,52232
14422,63250
14423,53116
14424,53490
14425,63354
14427,51850
14428,59292
14432,52565
14433,51250
14435,60822
14437,44244
14441,50625
14445,48094
14450,76655
14454,42323
14456,45279
14462,52019
14464,57736
14466,55987
14467,74970
14468,65810
14469,60278
14470,46856
14471,62791
14472,85049
14475,84167
14476,52386
14477,54290
14478,91250
14480,38015
14481,52212
14482,52929
14485,48333
14486,59615
14487,65652
14489,46060
14502,67330
14504,53144
14505,58566
14506,102989
14507,58580
14510,46063
14511,45769
14512,52534
14513,37594
14514,63155
14516,56316
14517,40685
14519,59159
14521,45945
14522,46774
14525,65625
14526,81596
14527,46943
14530,50513
14532,53177
14533,60156
14534,104398
14536,42438
14537,67344
14539,70156
14541,56745
14543,81689
14544,56580
14545,56667
14546,56974
14548,55170
14549,31944
14550,54375
14551,47561
14555,49750
14559,74260
14560,54875
14561,64535
14564,86336
14568,74938
14569,46250
14571,46900
14572,41784
14580,71899
14585,42188
14586,77188
14588,83583
14589,50167
14590,44850
14591,58170
14592,83702
14604,14270
14605,18318
14606,37542
14607,41954
14608,20047
14609,41074
14610,59046
14611,24924
14612,61349
14613,28026
14615,36250
14616,46143
14617,60870
14618,89688
14619,36176
14620,40483
14621,24906
14622,49257
14623,47613
14624,60443
14625,72500
14626,53212
14701,36552
14706,50938
14707,57500
14708,57031
14709,44107
14710,52946
14711,42361
14712,48750
14714,42500
14715,39444
14716,34597
14717,40921
14718,56689
14719,45893
14720,39875
14722,95917
14723,48281
14724,48036
14726,34833
14727,48859
14728,47750
14729,55469
14731,61389
14732,54167
14733,41377
14735,38059
14736,42589
14737,42835
14738,47911
14739,36541
14740,51307
14741,53333
14742,78988
14743,42222
14744,50000
14747,41702
14748,35417
14750,50881
14753,33500
14754,43375
14755,44063
14757,46504
14760,39821
14767,37174
14769,37115
14770,51319
14772,39697
14774,41875
14775,41648
14777,43177
14779,32126
14781,42317
14782,46433
14783,31111
14784,34844
14787,45728
14788,62188
14801,43185
14802,25156
14803,47188
14804,54333
14805,55655
14806,50662
14807,51146
14808,44120
14809,42217
14810,40793
14812,58889
14813,42059
14814,62338
14815,45000
14816,49083
14817,49931
14818,53281
14819,36375
14820,42045
14821,51210
14822,36250
14823,49360
14824,43750
14825,55804
14826,40170
14830,53294
14836,65625
14837,45990
14838,55057
14839,52031
14840,54500
14841,78250
14842,53278
14843,40511
14845,63377
14846,46389
14847,46406
14850,48088
14855,45329
14858,51023
14859,50781
14860,53500
14861,49688
14864,64468
14865,37821
14867,44306
14869,49231
14870,62813
14871,62212
14872,51958
14873,46987
14874,34028
14877,51094
14878,69318
14879,47214
14880,49922
14882,69097
14883,51447
14884,47500
14885,47375
14886,66450
14889,49853
14891,44104
14892,50253
14894,39750
14895,41102
14897,45789
14898,37941
14901,26766
14903,49267
14904,38020
14905,64178
