,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
105,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,2037,102,659,916,500,28,2037,29,43,67.4,39,25,1110,49,Matches,67ca8566
106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,1413,87,448,645,334,27,1413,17,25,68.0,25,8,827,37,Matches,d9565625
107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,266,214,262,4,0,0,266,0,0,,0,0,92,0,Matches,cde3309f
108,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,122,10,28,53,41,6,122,7,11,63.6,5,5,65,6,Matches,60344e4f
109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1875,140,722,905,264,30,1875,7,11,63.6,22,10,1340,38,Matches,44781702
110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,121,9,30,61,32,9,121,2,3,66.7,6,1,68,4,Matches,9228b07c
111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,5,0,0,3,2,0,5,0,0,,2,1,7,1,Matches,9deaf2c8
112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1603,271,842,689,74,46,1603,4,4,100.0,10,5,968,3,Matches,3e9e06cb
113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1796,25,128,682,1006,103,1796,31,55,56.4,40,20,1341,138,Matches,e46012d4
114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,12,2,2,1,9,5,12,0,0,,1,0,10,5,Matches,82e34b69
115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches,dd897ee7
116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,383,20,105,231,50,0,383,5,7,71.4,8,0,227,3,Matches,111c3236
117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,1022,59,280,542,203,33,1022,5,10,50.0,25,9,648,37,Matches,5a7301ae
118,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,1064,22,134,412,543,125,1064,68,156,43.6,107,63,695,115,Matches,2c44a35d
119,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1504,47,285,750,492,40,1504,30,49,61.2,56,46,1070,75,Matches,5c74c0f5
120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,551,23,95,319,145,10,551,16,21,76.2,18,13,358,17,Matches,11ff3d56
121,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2466,151,775,1607,90,33,2466,2,4,50.0,9,3,1975,4,Matches,31c69ef1
122,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,591,4,30,218,348,77,591,31,49,63.3,27,26,472,84,Matches,4a1a9578
123,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2609,421,1451,1111,57,23,2609,1,2,50.0,5,2,1971,7,Matches,ac861941
124,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,964,63,282,330,359,21,964,3,13,23.1,13,13,540,44,Matches,1b84dbe1
125,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,813,44,272,305,247,15,813,8,17,47.1,9,6,387,22,Matches,1b84dbe1
126,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,569,80,309,254,11,7,569,0,0,,2,1,350,1,Matches,a712ca2b
127,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,244,7,33,93,121,26,244,12,29,41.4,23,9,145,14,Matches,254147d4
128,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,13,0,1,7,5,2,13,0,1,0.0,1,1,8,2,Matches,e814e1cf
129,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,636,36,181,257,201,32,636,6,10,60.0,17,6,416,43,Matches,d557d734
130,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34.0,2338,314,1148,1105,98,46,2338,4,4,100.0,18,5,1698,9,Matches,67ac5bb8
131,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1386,63,330,741,337,45,1386,21,41,51.2,43,22,760,53,Matches,02b29014
132,Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,416,6,62,170,188,13,416,7,14,50.0,13,15,283,36,Matches,2f6ec02a
133,Cody Drameh,eng ENG,DFMF,Leeds United,19,2001,1.4,97,4,39,39,19,2,97,2,4,50.0,5,0,45,2,Matches,e0d1510a
134,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26.0,897,690,889,9,0,0,897,0,0,,0,0,324,0,Matches,3a949a25
135,Shane Duffy,ie IRL,DF,Brighton,29,1992,16.0,1216,189,676,492,52,31,1216,1,1,100.0,7,0,847,3,Matches,7314bba4
136,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,93,8,32,50,12,0,93,0,0,,1,0,37,1,Matches,3fe6bd8c
137,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,2199,281,1182,949,76,36,2199,4,4,100.0,11,3,1571,3,Matches,282f75f3
138,Ederson,br BRA,GK,Manchester City,27,1993,37.0,1174,911,1164,10,0,0,1174,0,0,,0,0,715,0,Matches,3bb7b8b4
139,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,670,20,69,298,313,81,669,30,67,44.8,62,27,473,102,Matches,0562b7f1
140,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0.0,1,1,1,0,0,0,1,0,0,,0,0,0,0,Matches,d313e8ff
141,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,613,11,109,212,294,55,613,11,31,35.5,37,15,447,79,Matches,2fba6108
142,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,300,1,23,131,148,19,300,2,9,22.2,8,0,225,27,Matches,c8387671
143,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9.0,629,33,144,392,96,2,629,0,1,0.0,4,3,466,3,Matches,47a34c4f
