,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
354,Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18.0,1194,96,422,651,133,16,1194,11,17,64.7,25,15,659,13,Matches,6b47c5db
355,Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,337,5,42,208,93,12,337,11,20,55.0,20,20,267,20,Matches,5cdddffa
356,Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,15,0,0,5,10,1,15,0,0,,0,0,11,2,Matches,c5bdb6e3
357,Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,308,1,21,117,174,23,308,12,23,52.2,21,12,235,27,Matches,7ba2eaa9
358,Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,2276,89,553,1423,328,6,2276,26,32,81.3,33,17,1602,15,Matches,44bfb6c5
359,Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10.0,557,41,232,222,110,2,557,9,17,52.9,10,5,259,6,Matches,3631ad41
360,Saúl Ñíguez,es ESP,DFMF,Chelsea,26,1994,5.3,427,11,109,219,100,13,427,2,3,66.7,9,11,293,16,Matches,c14bc029
361,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,353,8,35,135,186,59,353,14,30,46.7,26,11,265,67,Matches,a53649b7
362,Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,73,9,36,35,2,0,73,1,1,100.0,0,1,41,0,Matches,93cf32a8
363,Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,323,5,79,210,39,2,321,3,4,75.0,0,4,246,2,Matches,ff527768
364,Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,992,75,331,518,157,5,992,17,30,56.7,27,17,565,3,Matches,8996350d
365,Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,2072,108,570,1216,307,59,2072,18,27,66.7,26,26,1100,31,Matches,df0a4c90
366,Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,542,63,290,242,13,6,542,1,1,100.0,2,1,376,0,Matches,74b2cd7e
367,Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,818,16,101,348,386,40,818,28,62,45.2,27,21,578,65,Matches,c4486bac
368,Robin Olsen,se SWE,GK,Aston Villa,31,1990,1.0,46,45,46,0,0,0,46,0,0,,0,0,13,0,Matches,e7ee38c3
369,Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,276,27,137,123,17,2,276,0,0,,6,0,162,1,Matches,c393a6c4
370,Tyler Onyango,eng ENG,MF,Everton,18,2003,0.3,7,0,1,3,4,1,7,0,1,0.0,0,0,4,0,Matches,d86a1f3e
371,Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,463,22,117,244,109,15,463,11,17,64.7,22,14,267,18,Matches,2944f86f
372,Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,65,2,6,14,45,15,65,1,3,33.3,8,3,48,12,Matches,43a166b4
373,Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,506,5,44,236,232,30,506,12,17,70.6,16,10,371,42,Matches,38c7feef
374,Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,76,0,1,28,48,10,76,1,2,50.0,7,3,62,16,Matches,dc7f8a28
375,Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,2,0,0,1,1,1,2,0,0,,0,0,2,1,Matches,e0bc6fdc
376,Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,1441,63,370,827,261,21,1441,35,43,81.4,34,17,1006,9,Matches,529f49ab
377,Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,500,12,60,151,296,55,500,19,44,43.2,34,18,337,57,Matches,57e3f0c7
378,Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11.0,803,40,246,375,192,18,803,11,19,57.9,12,6,467,16,Matches,75a72a99
379,Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,232,5,39,118,80,17,232,10,16,62.5,16,12,155,27,Matches,819aa8e7
380,Sonny Perkins,eng ENG,FW,West Ham,17,2004,0.0,,,,,,,,,,,,,,,Matches,87f12e30
381,Romain Perraud,fr FRA,DF,Southampton,23,1997,18.0,943,53,245,380,326,25,943,8,18,44.4,31,9,498,40,Matches,6dfd8f05
382,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,1180,63,366,667,155,6,1180,7,12,58.3,32,16,701,14,Matches,4f565d77
383,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,3,0,0,2,1,0,3,0,0,,0,3,2,0,Matches,19f4d211
384,Jordan Pickford,eng ENG,GK,Everton,27,1994,35.0,1233,954,1192,41,0,0,1233,1,1,100.0,0,0,470,0,Matches,4806ec67
385,Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,465,53,162,221,89,5,465,3,5,60.0,14,2,176,6,Matches,1ef37668
386,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,1975,260,1053,716,215,55,1975,9,11,81.8,12,7,976,12,Matches,e541326e
387,Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,799,1,85,336,389,52,799,35,66,53.0,35,34,616,79,Matches,7fcc71d8
388,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15.0,1072,26,162,604,319,47,1072,39,54,72.2,42,27,834,50,Matches,867239d3
389,Nick Pope,eng ENG,GK,Burnley,29,1992,36.0,1195,884,1164,37,0,0,1195,0,0,,0,0,322,0,Matches,4b40d9ca
390,Isaac Price,nir NIR,MF,Everton,17,2003,0.2,5,0,1,2,2,2,5,0,0,,0,1,3,1,Matches,b9403c99
391,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,807,8,43,367,409,148,804,27,60,45.0,71,42,501,190,Matches,0745b37d
392,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,652,7,73,254,340,67,652,25,57,43.9,50,25,502,86,Matches,1bf33a9a
393,Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,220,7,51,77,97,14,220,10,19,52.6,7,11,133,22,Matches,3c33f9d9
394,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,41,1,6,21,14,1,41,0,2,0.0,3,2,26,3,Matches,45685411
395,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34.0,1259,928,1246,15,0,0,1259,1,1,100.0,1,0,630,0,Matches,466fb2c5
396,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,1359,49,247,720,406,60,1359,30,48,62.5,58,36,991,67,Matches,1544f145
397,Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,1766,46,248,744,805,128,1762,62,146,42.5,99,35,1173,196,Matches,3423f250
398,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,566,6,50,217,309,69,566,22,53,41.5,39,26,457,91,Matches,a1d5bd30
399,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,894,38,177,314,423,58,894,16,73,21.9,68,38,546,96,Matches,6c6a3300
400,David Raya,es ESP,GK,Brentford,25,1995,24.0,1143,878,1110,33,0,0,1143,0,0,,2,0,575,0,Matches,98ea5115
401,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,915,24,135,351,442,43,915,21,39,53.8,28,15,600,89,Matches,ab651565
402,Sergio Reguilón,es ESP,DFMF,Tottenham,24,1996,21.3,1223,68,342,471,422,50,1223,19,46,41.3,30,13,751,69,Matches,3353737a
403,Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,2543,126,639,1545,400,51,2543,50,72,69.4,26,20,1774,32,Matches,1c7012b8
404,Taylor Richards,eng ENG,MF,Brighton,20,2000,0.3,32,0,0,18,14,0,32,0,1,0.0,0,0,25,4,Matches,e0243d23
405,Richarlison,br BRA,FW,Everton,24,1997,28.0,992,37,137,346,528,134,989,40,82,48.8,93,54,649,122,Matches,fa031b34
406,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,66,3,20,37,12,1,66,1,2,50.0,1,1,43,2,Matches,7a1f2c08
407,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,820,42,254,338,235,7,820,4,6,66.7,11,5,408,11,Matches,71ef519e
408,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,1031,76,293,478,268,18,1031,6,12,50.0,10,6,501,28,Matches,24fae784
409,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11.0,426,13,63,194,174,38,426,12,22,54.5,26,14,290,55,Matches,6c17e046
410,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,2535,77,525,1168,868,88,2535,13,23,56.5,24,15,1730,130,Matches,2e4f5f03
411,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,46,12,19,27,0,0,46,0,0,,0,0,24,0,Matches,8d62d31a
412,Rodri,es ESP,MF,Manchester City,25,1996,32.0,3173,91,587,1985,622,58,3173,12,22,54.5,18,23,2421,46,Matches,6434f10d
413,Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,1156,29,160,568,437,77,1155,22,42,52.4,74,27,855,154,Matches,1fb1c435
414,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,492,16,73,203,220,54,492,8,15,53.3,29,13,332,57,Matches,4ab53cdb
415,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,488,45,186,178,126,11,488,4,15,26.7,9,4,258,25,Matches,57c94db2
416,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,1575,229,812,683,98,21,1575,9,14,64.3,14,5,1041,8,Matches,a3d94a58
417,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,2008,82,433,1218,380,51,2008,30,40,75.0,42,16,1242,30,Matches,4b511457
418,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,1159,30,102,495,568,168,1156,20,32,62.5,50,30,943,180,Matches,dea698d9
419,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,278,12,30,110,139,42,278,4,10,40.0,25,10,202,41,Matches,b318a643
420,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,402,31,138,172,99,3,402,9,15,60.0,10,1,174,8,Matches,89d10e53
421,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,112,2,17,47,49,7,112,4,13,30.8,6,10,75,15,Matches,8c12f884
422,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,39,37,39,0,0,0,39,0,0,,0,0,11,0,Matches,da8b19e2
423,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,2812,210,1013,1519,296,47,2812,6,12,50.0,20,8,2182,15,Matches,18b896d6
424,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,486,21,99,264,131,16,486,18,27,66.7,20,19,347,22,Matches,3faa1780
425,José Sá,pt POR,GK,Wolves,28,1993,36.5,1212,1112,1204,8,0,0,1212,4,4,100.0,2,0,400,0,Matches,903b6e8b
426,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,1168,7,87,475,652,112,1168,150,241,62.2,120,90,889,104,Matches,2b16cb1a
427,Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,2160,282,1187,862,118,33,2160,7,10,70.0,10,5,1412,7,Matches,9fbbcf39
428,Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,1603,29,175,499,951,209,1601,43,102,42.2,85,48,1167,216,Matches,bc7dc64d
429,Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,1518,7,54,450,1029,294,1512,53,124,42.7,99,81,1280,314,Matches,e342ad68
430,Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33.0,2282,277,1035,1067,194,34,2282,13,16,81.3,16,10,1212,4,Matches,0b33f6ad
431,Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,929,33,217,534,186,4,929,3,4,75.0,13,8,691,17,Matches,1b4f1169
432,Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,1316,128,559,665,98,21,1316,4,6,66.7,9,2,911,5,Matches,da7b447d
433,Robert Sánchez,es ESP,GK,Brighton,23,1997,37.0,1615,1188,1594,21,0,0,1615,0,0,,0,0,929,0,Matches,6a713852
434,Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,1172,11,144,447,598,105,1172,47,85,55.3,44,27,923,138,Matches,dbf053da
435,Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4.0,223,6,43,140,48,1,223,13,16,81.3,5,10,141,7,Matches,6e7f1353
436,Samir Santos,br BRA,DF,Watford,26,1994,18.6,868,116,546,310,18,10,868,2,3,66.7,6,3,450,2,Matches,92b4758e
437,Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,628,33,127,246,266,55,628,16,32,50.0,52,25,383,75,Matches,a8d4428b
438,Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,30,0,2,9,20,1,30,1,4,25.0,4,1,19,5,Matches,ac0d576d
439,Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,711,18,95,245,387,69,710,34,71,47.9,71,40,519,111,Matches,bfdb33aa
440,Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,551,29,204,300,48,0,551,0,0,,6,2,389,7,Matches,4315f30d
441,Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0.0,1,0,0,1,0,0,1,1,1,100.0,0,0,1,0,Matches,21945a9e
442,Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24.0,1230,158,642,536,74,27,1230,6,10,60.0,12,5,668,3,Matches,c8aa95da
443,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,961,46,235,501,238,56,961,35,58,60.3,42,33,556,44,Matches,3312f911
444,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37.0,1389,1216,1376,13,0,0,1389,1,1,100.0,2,0,599,0,Matches,53af52f3
445,Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,323,19,87,133,107,15,323,12,27,44.4,18,25,182,29,Matches,1770bd68
446,Nélson Semedo,pt POR,MFDF,Wolves,27,1993,23.7,1447,88,410,587,470,53,1447,39,64,60.9,51,27,841,91,Matches,d04b94db
447,Ryan Sessegnon,eng ENG,DFMF,Tottenham,21,2000,11.6,568,38,166,187,220,39,568,6,19,31.6,33,12,321,44,Matches,6aa3e78b
448,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,495,26,188,225,89,14,495,11,17,64.7,5,2,276,10,Matches,8d03ca5a
449,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,1307,55,292,593,432,16,1307,7,14,50.0,11,14,833,27,Matches,9c94165b
450,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22.0,1110,56,316,646,167,3,1110,9,12,75.0,19,5,641,7,Matches,3727dd3c
451,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,0.2,6,1,2,0,4,0,6,0,0,,0,0,3,1,Matches,00f0482f
452,Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,247,60,186,59,2,2,247,2,2,100.0,1,0,137,0,Matches,0f933743
453,Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,2275,36,291,1010,992,177,2275,53,92,57.6,54,25,1761,198,Matches,3eb22ec9
454,Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,198,1,11,93,99,39,198,7,19,36.8,18,14,141,37,Matches,e7aa9d7c
455,Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,2899,362,1258,1567,83,24,2899,6,7,85.7,7,3,2162,2,Matches,86e7deaf
456,Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,18,2,3,10,5,0,18,0,0,,1,1,13,2,Matches,26d3b5be
457,Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,1545,124,412,846,321,35,1545,52,76,68.4,49,53,813,61,Matches,2acd49b9
458,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15.0,966,25,170,647,152,11,966,4,6,66.7,15,11,710,15,Matches,6250083a
459,William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,54,2,11,22,22,3,54,0,0,,3,0,27,8,Matches,5e105217
460,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,1014,19,139,412,477,62,1014,32,53,60.4,41,25,742,106,Matches,17695062
461,Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,1239,50,322,561,370,13,1239,8,12,66.7,15,11,769,13,Matches,839c14e1
462,Tomáš Souček,cz CZE,MF,West Ham,26,1995,34.0,1738,148,463,957,332,83,1738,10,16,62.5,40,16,1019,44,Matches,6613c819
463,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,660,28,172,395,101,7,660,14,24,58.3,25,13,475,18,Matches,ae59b359
464,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,2209,281,1181,982,64,15,2209,4,8,50.0,9,3,1507,2,Matches,21166ff4
465,Tony Springett,eng ENG,MFFW,Norwich City,18,2002,1.6,50,2,14,22,17,4,50,1,2,50.0,2,3,38,5,Matches,35be8087
466,Jason Steele,eng ENG,GK,Brighton,30,1990,1.0,41,37,41,1,0,0,41,0,0,,0,0,28,0,Matches,28300a16
467,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1.0,38,34,37,1,0,0,38,0,0,,0,0,18,0,Matches,a8a3d139
468,Zack Steffen,us USA,GK,Manchester City,26,1995,1.0,42,38,42,0,0,0,42,0,0,,0,0,20,0,Matches,42130443
469,Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,71,3,10,54,7,0,71,0,0,,2,0,35,1,Matches,653ee42d
470,Jack Stephens,eng ENG,DF,Southampton,27,1994,9.0,562,76,285,260,20,3,562,2,2,100.0,2,1,318,2,Matches,6adbc307
471,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,1158,8,51,335,786,186,1155,53,112,47.3,62,54,979,184,Matches,b400bde0
472,Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,9,1,1,5,3,1,9,0,0,,0,0,5,1,Matches,7e003182
473,John Stones,eng ENG,DF,Manchester City,27,1994,12.4,1067,82,353,630,90,10,1067,8,9,88.9,4,1,844,4,Matches,5eecec3d
474,Pascal Struijk,nl NED,DFMF,Leeds United,21,1999,22.8,1529,172,804,646,85,21,1529,2,3,66.7,18,5,930,9,Matches,f4d296e4
475,Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,93,1,16,26,51,9,93,4,7,57.1,4,2,60,9,Matches,df04eb4b
476,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,378,33,153,194,36,8,378,3,4,75.0,2,2,232,1,Matches,953c30b0
477,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,495,46,164,240,94,10,495,5,7,71.4,7,5,315,9,Matches,e9971f2d
478,Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,958,60,291,428,249,14,958,1,6,16.7,9,4,540,32,Matches,e514ab62
479,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16.0,927,61,306,397,232,10,927,10,17,58.8,13,5,415,20,Matches,e514ab62
480,James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,1618,274,814,702,114,66,1618,5,7,71.4,13,5,702,11,Matches,15ea812b
481,Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,884,50,271,343,282,39,884,18,36,50.0,29,12,557,42,Matches,a65c844b
482,Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,1717,165,582,723,431,13,1717,27,53,50.9,31,15,813,22,Matches,cc2d7ad5
483,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,325,8,61,127,148,20,325,10,26,38.5,41,23,180,34,Matches,f1e94cd6
484,Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,1383,67,406,556,433,18,1383,12,22,54.5,15,10,848,48,Matches,e73c9bb2
485,Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,1511,86,485,728,309,15,1511,15,23,65.2,33,20,877,38,Matches,fc027d02
486,Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,55,8,31,15,11,2,55,0,2,0.0,2,0,27,1,Matches,235a62f8
487,Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,2110,77,448,1219,469,35,2108,25,39,64.1,44,30,1504,60,Matches,56f7a928
488,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,1329,63,334,576,428,34,1329,9,23,39.1,18,8,830,52,Matches,fce2302c
489,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,1304,69,397,631,285,20,1304,9,15,60.0,27,12,736,20,Matches,b3af9be1
490,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,373,79,260,104,9,8,373,1,1,100.0,2,0,249,1,Matches,e7ca0439
491,Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,1186,53,145,512,543,155,1181,24,50,48.0,109,44,904,166,Matches,e09f279b
492,Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,102,0,7,27,68,25,102,4,6,66.7,4,2,75,26,Matches,9e1035f8
493,Cenk Tosun,tr TUR,MF,Everton,30,1991,0.1,3,0,0,3,0,0,3,0,0,,1,0,2,0,Matches,9a104dee
494,Andros Townsend,eng ENG,MFFW,Everton,30,1991,16.2,705,13,121,256,339,27,704,26,48,54.2,44,19,427,62,Matches,b28bbd58
495,Adama Traoré,es ESP,FWMF,Wolves,25,1996,11.9,478,3,45,187,272,50,478,83,102,81.4,46,29,393,57,Matches,9a28eba4
496,Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,120,1,6,55,61,12,120,10,19,52.6,12,2,92,14,Matches,c47541e0
497,Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,10,0,0,3,7,1,10,1,1,100.0,2,0,9,2,Matches,3ae14ed1
498,Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,677,2,66,308,317,46,677,44,86,51.2,45,18,469,76,Matches,77e39b04
499,Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,334,22,107,153,78,0,334,1,3,33.3,1,1,130,1,Matches,21512407
500,William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,752,147,474,265,17,7,752,1,2,50.0,5,0,431,3,Matches,7ed4921e
501,Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,1525,24,150,570,824,152,1524,56,80,70.0,93,73,1151,170,Matches,38ceb24a
502,Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,798,40,173,309,323,31,798,8,20,40.0,8,5,484,59,Matches,f315ca93
503,Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,279,42,156,117,8,6,279,0,0,,3,0,181,0,Matches,2baec6ce
504,Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,154,4,21,87,47,9,154,3,6,50.0,5,3,89,13,Matches,17d45fb2
505,Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,137,4,25,43,71,18,137,0,2,0.0,10,4,97,21,Matches,9f333379
506,Yan Valery,tn TUN,DF,Southampton,22,1999,4.1,210,19,80,104,27,0,210,1,5,20.0,1,2,94,1,Matches,531a4aa8
507,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34.0,2892,299,1296,1513,90,57,2892,6,8,75.0,5,3,2092,3,Matches,e06683ca
508,Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,1335,162,646,657,40,15,1335,2,3,66.7,7,0,897,2,Matches,9f8e9423
509,Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,405,18,26,153,229,102,405,9,22,40.9,25,8,266,96,Matches,45963054
510,Joël Veltman,nl NED,DF,Brighton,29,1992,31.9,2211,176,808,1047,376,23,2211,16,32,50.0,28,10,1248,23,Matches,dad4b285
511,Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,6.3,455,91,252,193,10,5,455,4,4,100.0,4,0,308,0,Matches,1900032e
512,Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,6.2,275,1,31,123,125,23,275,9,18,50.0,12,9,204,40,Matches,aa8e289e
513,Matěj Vydra,cz CZE,FW,Burnley,29,1992,7.5,207,9,22,64,123,36,207,6,13,46.2,30,9,138,45,Matches,0d4ceb32
514,Theo Walcott,eng ENG,MFFW,Southampton,32,1989,4.2,124,3,26,40,60,17,124,1,3,33.3,10,1,83,18,Matches,1ecb65be
515,Kyle Walker,eng ENG,DF,Manchester City,31,1990,19.5,1761,40,343,1041,383,21,1761,7,14,50.0,15,6,1353,41,Matches,86dd77d1
516,Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,29.3,1689,84,421,710,600,77,1689,64,95,67.4,42,43,972,82,Matches,984a5a64
517,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,19.9,1342,75,448,561,354,28,1342,36,61,59.0,23,13,811,40,Matches,9e525177
518,Danny Ward,wls WAL,GK,Leicester City,28,1993,1.0,37,33,37,0,0,0,37,0,0,,0,0,17,0,Matches,d3ce0e89
519,Joel Ward,eng ENG,DF,Crystal Palace,31,1989,27.6,2012,150,775,934,322,11,2012,20,26,76.9,29,18,1208,16,Matches,8a7ff278
520,James Ward-Prowse,eng ENG,MF,Southampton,26,1994,35.7,2431,77,414,1288,742,20,2427,12,20,60.0,20,25,1355,35,Matches,3515d404
521,Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,32.8,1034,29,60,416,572,173,1033,37,68,54.4,86,53,807,205,Matches,aed3a70f
522,Adam Webster,eng ENG,DF,Brighton,26,1995,15.9,1321,121,583,659,86,13,1321,10,12,83.3,8,1,906,6,Matches,c40b6180
523,Wout Weghorst,nl NED,FW,Burnley,28,1992,16.1,624,20,69,302,257,60,624,13,23,56.5,40,29,410,74,Matches,c4e87b8b
524,Danny Welbeck,eng ENG,FWMF,Brighton,30,1990,16.4,460,20,35,142,286,70,460,10,21,47.6,51,22,348,89,Matches,ce5143da
525,Timo Werner,de GER,FWMF,Chelsea,25,1996,14.3,542,2,30,169,349,109,542,10,33,30.3,34,19,437,113,Matches,49fe9070
526,Ashley Westwood,eng ENG,MF,Burnley,31,1990,25.4,1412,45,224,827,376,15,1412,10,18,55.6,29,14,804,22,Matches,495945ef
527,Ben White,eng ENG,DF,Arsenal,23,1997,32.0,2145,220,995,1051,114,19,2145,10,20,50.0,18,11,1441,3,Matches,35e413f1
528,Brandon Williams,eng ENG,DF,Norwich City,20,2000,23.6,1402,110,522,593,308,27,1402,20,39,51.3,39,17,777,27,Matches,5e74d6c8
529,Neco Williams,wls WAL,DF,Liverpool,20,2001,0.1,10,0,1,5,4,1,10,1,1,100.0,0,0,9,2,Matches,dd323728
530,Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,22.6,856,20,193,414,276,59,856,36,71,50.7,56,20,485,55,Matches,a3b03921
531,Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,15.4,315,12,29,121,168,67,313,10,21,47.6,59,27,239,47,Matches,c596fcb0
532,Harry Winks,eng ENG,MF,Tottenham,25,1996,10.1,766,21,159,473,143,2,766,8,15,53.3,16,6,590,13,Matches,2f7acede
533,Yoane Wissa,cd COD,FW,Brentford,24,1996,14.3,417,12,58,174,192,45,417,19,30,63.3,34,6,283,72,Matches,2500cef9
534,Chris Wood,nz NZL,FW,Burnley,29,1991,15.2,425,7,19,194,214,46,425,4,8,50.0,40,12,337,63,Matches,4e9a0555
