,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
388,Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15.0,57,3.80,45,1,6,1,4,0,11,0.73,10,1,0,0,0,0,Matches,867239d3
389,Nick Pope,eng ENG,GK,Burnley,29,1992,36.0,8,0.22,4,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4b40d9ca
390,Isaac Price,nir NIR,MF,Everton,17,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b9403c99
391,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,63,1.74,39,0,8,3,12,1,4,0.11,3,0,0,0,1,0,Matches,0745b37d
392,Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,35,2.44,23,0,1,4,6,1,4,0.28,3,0,0,1,0,0,Matches,1bf33a9a
393,Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,16,2.85,6,2,4,0,4,0,0,0.00,0,0,0,0,0,0,Matches,3c33f9d9
394,Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,45685411
395,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,466fb2c5
396,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,74,2.70,54,0,7,2,9,2,5,0.18,4,0,0,1,0,0,Matches,1544f145
397,Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,136,4.20,75,25,15,9,8,4,10,0.31,5,0,2,0,2,1,Matches,3423f250
398,Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,28,2.04,17,0,5,2,4,0,3,0.22,3,0,0,0,0,0,Matches,a1d5bd30
399,Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,67,2.70,37,14,4,4,6,2,5,0.20,4,1,0,0,0,0,Matches,6c6a3300
400,David Raya,es ESP,GK,Brentford,25,1995,24.0,7,0.29,6,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,98ea5115
401,Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,73,3.58,62,4,0,5,2,0,8,0.39,6,1,0,0,1,0,Matches,ab651565
402,Sergio Reguilón,es ESP,DFMF,Tottenham,24,1996,21.3,59,2.77,43,2,4,4,3,3,6,0.28,5,0,0,0,0,1,Matches,3353737a
403,Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,79,2.24,67,0,4,3,0,5,9,0.25,9,0,0,0,0,0,Matches,1c7012b8
404,Taylor Richards,eng ENG,MF,Brighton,20,2000,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0243d23
405,Richarlison,br BRA,FW,Everton,24,1997,28.0,71,2.53,45,0,3,9,12,2,9,0.32,5,0,0,3,1,0,Matches,fa031b34
406,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,4,3.08,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7a1f2c08
407,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,45,3.03,21,21,0,2,0,1,3,0.20,2,1,0,0,0,0,Matches,71ef519e
408,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,29,1.54,22,1,0,1,2,3,1,0.05,1,0,0,0,0,0,Matches,24fae784
409,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11.0,30,2.74,23,1,1,3,2,0,1,0.09,1,0,0,0,0,0,Matches,6c17e046
410,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,111,3.94,79,24,1,2,3,2,16,0.57,13,3,0,0,0,0,Matches,2e4f5f03
411,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8d62d31a
412,Rodri,es ESP,MF,Manchester City,25,1996,32.0,94,2.93,81,1,1,5,1,5,6,0.19,6,0,0,0,0,0,Matches,6434f10d
413,Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,79,3.14,63,3,5,3,2,3,4,0.16,2,0,2,0,0,0,Matches,1fb1c435
414,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,29,1.89,18,1,1,6,3,0,4,0.26,2,1,0,1,0,0,Matches,4ab53cdb
415,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,15,1.09,11,0,1,1,2,0,3,0.22,2,0,0,1,0,0,Matches,57c94db2
416,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,18,0.88,15,1,0,0,1,1,2,0.10,1,0,0,0,0,1,Matches,a3d94a58
417,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,77,2.40,70,0,2,0,0,5,4,0.12,4,0,0,0,0,0,Matches,4b511457
418,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,82,3.00,62,0,9,6,5,0,9,0.33,4,0,2,1,2,0,Matches,dea698d9
419,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,17,1.94,12,0,2,3,0,0,0,0.00,0,0,0,0,0,0,Matches,b318a643
420,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,15,1.96,11,3,0,0,1,0,1,0.13,0,1,0,0,0,0,Matches,89d10e53
421,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,8,3.24,4,1,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8c12f884
422,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,da8b19e2
423,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,49,1.45,38,0,0,4,2,5,9,0.27,6,0,0,1,2,0,Matches,18b896d6
424,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,25,2.93,20,0,3,1,1,0,1,0.12,1,0,0,0,0,0,Matches,3faa1780
425,José Sá,pt POR,GK,Wolves,28,1993,36.5,3,0.08,2,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches,903b6e8b
