,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches,380a15e2
70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,29,14,5,17,7,12,34,35.3,22,14,2,12,8,37,4,1,Matches,03e91055
71,Giulian Biancone,fr FRA,DFMF,Troyes,21,2000,25.5,70,42,44,22,4,40,69,58.0,29,23,8,15,53,123,71,1,Matches,de40e38c
72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,13,6,4,6,3,2,7,28.6,5,10,3,7,6,19,19,0,Matches,47c609d5
73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,17,8,14,1,2,8,11,72.7,3,9,1,8,10,27,35,0,Matches,a3e1d20d
74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,0f697e02
75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,24,1,Matches,3d214e5f
76,Ludovic Blas,fr FRA,MFFW,Nantes,23,1997,32.9,33,18,7,20,6,15,43,34.9,28,33,3,30,31,64,6,1,Matches,6191093d
77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,9,7,2,3,4,1,5,20.0,4,6,0,6,2,11,1,0,Matches,5b479568
78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0,Matches,2db2fd7b
79,Antonin Bobichon,fr FRA,MFFW,Angers,25,1995,0.4,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches,7d937aa1
80,Quentin Boisgard,fr FRA,MFFW,Lorient,24,1997,10.6,19,11,6,10,3,8,17,47.1,9,15,0,15,6,25,5,0,Matches,f6496133
81,Charles Boli,fr FRA,MFDF,Lens,22,1998,0.4,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches,bbdd999a
82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,24,11,13,11,0,12,18,66.7,6,32,21,11,26,50,116,0,Matches,ccce7025
83,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,26,1994,27.1,46,25,14,13,19,22,63,34.9,41,30,0,30,8,54,34,1,Matches,0b0cbe5b
84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,31,18,15,10,6,13,36,36.1,23,17,4,13,18,49,15,0,Matches,f9d5908e
85,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,31,1990,25.0,27,15,11,12,4,12,29,41.4,17,17,2,15,10,37,5,0,Matches,1001ae82
86,Sofiane Boufal,ma MAR,FWMF,Angers,27,1993,25.9,44,29,19,16,9,18,38,47.4,20,19,2,17,7,51,1,0,Matches,b0c71810
87,Farid Boulaya,dz ALG,MFFW,Metz,28,1993,17.0,18,10,7,9,2,14,38,36.8,24,8,2,6,12,30,5,0,Matches,a0791826
88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,2,2,1,1,0,0,0,,0,1,1,0,2,4,5,0,Matches,62e02107
89,Benjamin Bourigeaud,fr FRA,FWMF,Rennes,27,1994,35.5,46,24,16,18,12,24,67,35.8,43,33,3,30,30,76,44,0,Matches,20e73fac
90,Redwan Bourles,fr FRA,MFFW,Lorient,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5c7895a0
91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,11,9,8,2,1,7,12,58.3,5,5,2,3,10,21,7,1,Matches,8bbe2df5
92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,1,0,Matches,02bcaf8e
