,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,3,24,14,58.3,1.97,1.15,0.13,0.21,17.0,0,0,0,4.0,4.0,0.17,-1.0,-1.0,Matches,5046b7d4
36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5065d67d
37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,be13e5a8
38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,4,19,8,42.1,4.80,2.02,0.21,0.50,13.4,0,0,0,2.8,2.8,0.15,+1.2,+1.2,Matches,0af4dcf0
39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ee95585f
40,Dilane Bakwa,fr FRA,FWMF,Bordeaux,18,2002,0.5,0,2,1,50.0,4.19,2.09,0.00,0.00,18.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,2b5a35e5
41,Ibrahima Baldé,fr FRA,FWMF,Lens,18,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a30cb0d4
42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,0,2,0,0.0,0.19,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,7c3ed041
43,Abdoulaye Bamba,ci CIV,DFFW,Angers,31,1990,5.1,0,1,0,0.0,0.20,0.00,0.00,,7.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,7fecbcdb
44,Jonathan Bamba,fr FRA,MFFW,Lille,25,1996,27.0,1,51,12,23.5,1.89,0.44,0.02,0.08,19.9,2,0,0,3.9,3.9,0.08,-2.9,-2.9,Matches,b2bd0f6c
45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,1,6,4,66.7,4.35,2.90,0.17,0.25,15.5,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches,be47b750
46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0557ff4f
47,Bradley Barcola,fr FRA,FWMF,Lyon,18,2002,2.9,0,5,2,40.0,1.71,0.68,0.00,0.00,13.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,a0d55a09
48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,2,5,2,40.0,0.17,0.07,0.40,1.00,17.2,0,0,0,0.9,0.9,0.18,+1.1,+1.1,Matches,1ddbc7ca
49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,0,2,0,0.0,0.86,0.00,0.00,,27.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,80556f08
50,Amine Bassi,fr FRA,MFFW,Metz,23,1997,2.0,0,4,1,25.0,1.96,0.49,0.00,0.00,26.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,ced1d98f
51,Paul Baysse,fr FRA,MFDF,Bordeaux,33,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2515040a
52,Youcef Belaïli,dz ALG,MFFW,Brest,29,1992,9.2,3,16,6,37.5,1.75,0.65,0.19,0.50,15.9,2,0,1,3.2,2.3,0.14,-0.2,+0.7,Matches,1a248246
53,Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,0,4,1,25.0,0.16,0.04,0.00,0.00,24.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2b1bed19
54,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,2,31,7,22.6,1.20,0.27,0.06,0.29,20.8,2,0,0,2.9,2.9,0.09,-0.9,-0.9,Matches,10f0fdd3
