,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
97,Osman Bukari,gh GHA,FWMF,Nantes,22,1998,11.2,434,7,57,146,243,43,434,21,46,45.7,32,21,276,72,Matches,eab85789
98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,850,54,300,334,225,18,850,15,24,62.5,30,9,483,35,Matches,7b082ec2
99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,143,6,40,84,22,1,143,2,3,66.7,3,3,106,0,Matches,49712367
100,Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,24,23,24,0,0,0,24,0,0,,0,0,9,0,Matches,db87a2c4
101,Rémy Cabella,fr FRA,MFFW,Montpellier,31,1990,3.5,251,4,34,123,100,12,251,7,11,63.6,3,9,192,33,Matches,148e136f
102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,1674,47,486,767,455,28,1674,45,107,42.1,60,21,1033,68,Matches,46359159
103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,1876,79,502,949,445,31,1876,23,41,56.1,32,17,1149,43,Matches,0118c54c
104,Mathieu Cafaro,fr FRA,MFFW,Reims,24,1997,2.1,113,1,20,40,53,6,113,0,3,0.0,4,1,61,10,Matches,2a657da0
105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,300,13,56,209,37,7,300,1,2,50.0,2,1,192,14,Matches,677ee102
106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,511,466,509,2,0,0,511,0,0,,0,0,110,0,Matches,5ee6e943
107,Jens Cajuste,se SWE,MFFW,Reims,21,1999,4.0,166,7,35,88,45,15,165,9,18,50.0,6,6,103,15,Matches,928a4a61
108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,1965,160,780,1132,58,17,1965,1,1,100.0,8,1,1578,2,Matches,94f8d10c
109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,2,0,1,1,0,0,2,0,0,,0,0,2,0,Matches,7a72e960
110,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,23,1998,34.1,1896,47,445,1070,401,34,1896,35,56,62.5,53,33,1186,55,Matches,8577e60a
111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,16,0,2,6,8,1,16,0,0,,1,1,15,1,Matches,316e70c7
112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,88,3,14,59,16,1,88,0,2,0.0,3,1,65,5,Matches,7b9c2d84
113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,608,33,210,268,135,4,608,7,22,31.8,18,9,324,15,Matches,3cc4bb19
114,Pierrick Capelle,fr FRA,MFDF,Angers,34,1987,13.3,733,34,190,374,177,21,733,16,30,53.3,31,18,429,33,Matches,79b2399c
