,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
505,Patrick Roberts,eng ENG,MF,Troyes,24,1997,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,3.00,0.00,3.00,3.00,3.00,Matches,59d93937
506,Stian Rode Gregersen,no NOR,DF,Bordeaux,26,1995,24,22,1953,21.7,1,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,1.2,1.2,0.4,1.6,0.05,0.02,0.07,0.05,0.07,Matches,5f011e05
507,Gerson Rodrigues,lu LUX,FWMF,Troyes,26,1995,12,9,848,9.4,1,1,1,0,0,6,0,0.11,0.11,0.21,0.11,0.21,2.7,2.7,0.6,3.3,0.29,0.06,0.35,0.29,0.35,Matches,3814b753
508,Valentin Rongier,fr FRA,MFDF,Marseille,26,1994,32,25,2194,24.4,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,3.1,3.1,1.7,4.8,0.13,0.07,0.20,0.13,0.20,Matches,ed45c4a5
509,Pablo Rosario,nl NED,MF,Nice,24,1997,36,31,2729,30.3,0,2,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,1.6,1.6,1.4,3.0,0.05,0.05,0.10,0.05,0.10,Matches,1a6b7ea4
510,Roli Pereira de Sa,fr FRA,MF,Nantes,24,1996,17,5,573,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,1.4,0.10,0.12,0.22,0.10,0.22,Matches,60f58477
511,Mathys Saban,fr FRA,FWMF,Saint-Étienne,19,2002,3,0,73,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7d9f3d69
512,Falaye Sacko,ml MLI,DF,Saint-Étienne,26,1995,9,8,667,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches,6388e356
513,Rafiki Said Ahamada,fr FRA,MFFW,Brest,21,2000,14,0,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.35,0.11,0.46,0.35,0.46,Matches,c2e5f306
514,Wesley Saïd,fr FRA,FWMF,Lens,26,1995,21,7,654,7.3,5,0,5,0,0,2,0,0.69,0.00,0.69,0.69,0.69,4.6,4.6,1.2,5.8,0.63,0.17,0.80,0.63,0.80,Matches,90fcf472
515,Mamadou Sakho,fr FRA,DF,Montpellier,31,1990,29,29,2575,28.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,87935cf3
516,Bakary Sako,ml MLI,FWMF,Saint-Étienne,33,1988,7,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.26,0.02,0.28,0.26,0.28,Matches,381d7d54
517,William Saliba,fr FRA,DF,Marseille,20,2001,36,36,3240,36.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,2.0,2.0,0.5,2.5,0.06,0.01,0.07,0.06,0.07,Matches,972aeb2a
518,Romain Salin,fr FRA,GK,Rennes,37,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,74733221
519,Yoann Salmier,gf GUF,DF,Troyes,28,1992,31,30,2668,29.6,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.1,2.2,0.04,0.04,0.07,0.04,0.07,Matches,c3725db2
520,Mama Samba Baldé,gw GNB,MFFW,Troyes,25,1995,30,20,1717,19.1,3,2,3,0,1,1,1,0.16,0.10,0.26,0.16,0.26,6.8,6.0,1.5,7.5,0.36,0.08,0.43,0.32,0.39,Matches,fb14aa28
521,Junior Sambia,fr FRA,DFFW,Montpellier,24,1996,30,16,1533,17.0,1,0,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,1.8,1.8,0.9,2.7,0.11,0.05,0.16,0.11,0.16,Matches,24eb7ed6
522,Renato Sanches,pt POR,MFFW,Lille,23,1997,25,20,1651,18.3,2,5,2,0,0,8,1,0.11,0.27,0.38,0.11,0.38,1.4,1.4,4.1,5.5,0.07,0.22,0.30,0.07,0.30,Matches,032f894e
523,Philippe Sandler,nl NED,DF,Troyes,24,1997,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,60740e70
524,Baptiste Santamaria,fr FRA,MFDF,Rennes,26,1995,34,28,2518,28.0,2,1,2,0,0,7,0,0.07,0.04,0.11,0.07,0.11,2.9,2.9,1.1,4.0,0.10,0.04,0.14,0.10,0.14,Matches,5e22e2a4
525,Pablo Sarabia,es ESP,FW,Paris S-G,29,1992,2,0,22,0.2,1,0,1,0,0,1,0,4.09,0.00,4.09,4.09,4.09,0.8,0.8,0.0,0.8,3.54,0.00,3.54,3.54,3.54,Matches,9744ff80
526,Martin Satriano,uy URU,FW,Brest,20,2001,15,11,932,10.4,4,0,4,0,0,5,0,0.39,0.00,0.39,0.39,0.39,3.5,3.5,0.2,3.6,0.33,0.02,0.35,0.33,0.35,Matches,86383d0e
527,Téji Savanier,fr FRA,MF,Montpellier,29,1991,29,28,2414,26.8,8,7,5,3,4,9,2,0.30,0.26,0.56,0.19,0.45,7.5,4.4,7.2,11.6,0.28,0.27,0.55,0.16,0.43,Matches,6bde367b
528,Morgan Schneiderlin,fr FRA,MF,Nice,31,1989,20,5,649,7.2,0,1,0,0,0,1,1,0.00,0.14,0.14,0.00,0.14,0.3,0.3,0.2,0.5,0.04,0.03,0.07,0.04,0.07,Matches,51b41c5c
529,Alidu Seidu,gh GHA,DF,Clermont Foot,21,2000,21,16,1410,15.7,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.04,0.02,0.07,0.04,0.07,Matches,cea59f02
530,Matz Sels,be BEL,GK,Strasbourg,29,1992,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches,834b5c4c
531,Xherdan Shaqiri,ch SUI,FWMF,Lyon,29,1991,11,9,679,7.5,2,3,2,0,0,0,0,0.27,0.40,0.66,0.27,0.66,0.8,0.8,1.7,2.6,0.11,0.23,0.34,0.11,0.34,Matches,6421ec64
532,Mahame Siby,ml MLI,DF,Strasbourg,25,1996,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6d075c67
533,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,25,1996,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ae5b93a0
534,Djibril Sidibé,fr FRA,DF,Monaco,29,1992,17,12,949,10.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.02,0.07,0.09,0.02,0.09,Matches,4c5b714f
535,Kaj Sierhuis,nl NED,FW,Reims,23,1998,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.12,0.19,0.07,0.19,Matches,9c2b1f11
536,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,24,1997,34,31,2662,29.6,2,8,2,0,0,5,0,0.07,0.27,0.34,0.07,0.34,1.3,1.3,6.4,7.6,0.04,0.22,0.26,0.04,0.26,Matches,30af8b93
537,Gabriel Silva,br BRA,DFMF,Saint-Étienne,30,1991,13,9,713,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches,4914ed4a
538,Moses Simon,ng NGA,FWMF,Nantes,26,1995,30,29,2332,25.9,6,8,6,0,0,3,0,0.23,0.31,0.54,0.23,0.54,5.1,5.1,9.0,14.2,0.20,0.35,0.55,0.20,0.55,Matches,5f3eaaf5
539,Xavi Simons,nl NED,MFFW,Paris S-G,18,2003,6,1,132,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.19,0.18,0.37,0.19,0.37,Matches,da4d670f
540,Issouf Sissokho,ml MLI,MF,Bordeaux,19,2002,7,6,436,4.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.04,0.10,0.14,0.04,0.14,Matches,792a9d41
541,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,23,1997,35,26,2303,25.6,2,5,2,0,0,6,0,0.08,0.20,0.27,0.08,0.27,3.1,3.1,4.5,7.6,0.12,0.18,0.30,0.12,0.30,Matches,0f8418aa
542,Nelson Sissoko,fr FRA,DF,Saint-Étienne,24,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,12bd0579
543,Sambou Sissoko,fr FRA,MFDF,Reims,22,1999,8,0,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.11,0.21,0.33,0.11,0.33,Matches,e4bb1f08
544,Islam Slimani,dz ALG,FW,Lyon,33,1988,12,6,573,6.4,1,1,1,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.9,1.9,0.7,2.6,0.30,0.11,0.41,0.30,0.41,Matches,ffec9769
545,Florian Sotoca,fr FRA,FWMF,Lens,30,1990,35,28,2480,27.6,6,4,4,2,2,7,0,0.22,0.15,0.36,0.15,0.29,9.3,7.7,3.8,11.5,0.34,0.14,0.48,0.28,0.42,Matches,7a42d0df
546,Sambou Soumano,sn SEN,FWMF,Lorient,20,2001,21,4,447,5.0,3,0,3,0,0,1,0,0.60,0.00,0.60,0.60,0.60,2.8,2.8,0.3,3.0,0.56,0.05,0.61,0.56,0.61,Matches,7cc00776
547,Arnaud Souquet,fr FRA,DF,Montpellier,29,1992,34,27,2334,25.9,1,3,1,0,0,4,0,0.04,0.12,0.15,0.04,0.15,0.8,0.8,1.3,2.1,0.03,0.05,0.08,0.03,0.08,Matches,4e0afc5d
548,Saidou Sow,gn GUI,DF,Saint-Étienne,19,2002,13,11,989,11.0,2,1,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,0.4,0.4,0.7,1.1,0.04,0.06,0.10,0.04,0.10,Matches,f6b94e8d
549,Calvin Stengs,nl NED,MF,Nice,22,1998,24,11,1073,11.9,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,2.9,2.9,3.1,6.0,0.24,0.26,0.50,0.24,0.50,Matches,8f7e6783
550,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,19,2002,20,11,1015,11.3,4,2,4,0,0,3,0,0.35,0.18,0.53,0.35,0.53,2.5,2.5,2.1,4.6,0.22,0.19,0.41,0.22,0.41,Matches,a62f8bf1
551,Abdoulaye Sylla,gn GUI,DF,Nantes,21,2000,2,2,157,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2aeb43f1
552,Waniss Taibi,fr FRA,MFFW,Angers,19,2002,7,1,132,1.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07,Matches,95192fe4
553,Flavien Tait,fr FRA,MF,Rennes,28,1993,28,24,2125,23.6,5,3,5,0,0,3,0,0.21,0.13,0.34,0.21,0.34,3.3,3.3,3.4,6.6,0.14,0.14,0.28,0.14,0.28,Matches,a0f9b535
