,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
307,Eiji Kawashima,jp JPN,GK,Strasbourg,38,1983,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a4527d33
308,Ilan Kebbal,dz ALG,MFFW,Reims,23,1998,19.7,72,3.66,49,8,4,4,6,1,7,0.36,4,1,0,1,1,0,Matches,37d04e90
309,Thilo Kehrer,de GER,DF,Paris S-G,24,1996,16.8,11,0.66,9,1,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches,51dbeea9
310,Habib Keita,ml MLI,MFFW,Lyon,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cc588cbe
311,Saîf-Eddine Khaoui,tn TUN,MFFW,Clermont Foot,26,1995,10.3,31,2.99,12,12,2,2,3,0,1,0.10,1,0,0,0,0,0,Matches,796b1c41
312,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,30,1991,24.7,82,3.31,53,4,9,8,7,1,6,0.24,4,0,0,0,1,1,Matches,2677a1de
313,Presnel Kimpembe,fr FRA,DF,Paris S-G,25,1995,28.6,18,0.63,17,0,0,1,0,0,3,0.10,3,0,0,0,0,0,Matches,aef6e670
314,Thibault Klidje,tg TOG,MFFW,Bordeaux,20,2001,1.0,5,5.29,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,db013c7d
315,Justin Kluivert,nl NED,MF,Nice,22,1999,20.8,64,3.06,34,22,5,2,1,0,8,0.38,3,3,2,0,0,0,Matches,4c3a6744
316,Samuel Koeberlé,fr FRA,FW,Reims,16,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6751b938
317,Philippe Koffi,fr FRA,FW,Reims,19,2002,4.2,11,2.63,5,0,1,2,3,0,2,0.48,1,0,0,1,0,0,Matches,9f1c2822
318,Sead Kolašinac,ba BIH,DF,Marseille,28,1993,4.9,7,1.43,6,1,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches,3935e52e
319,Randal Kolo Muani,fr FRA,FWMF,Nantes,22,1998,32.8,82,2.50,53,0,8,7,13,1,13,0.40,7,0,3,1,2,0,Matches,c0b3669f
320,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,29,1991,28.5,36,1.26,31,1,0,2,0,2,3,0.11,2,0,0,1,0,0,Matches,ab096c6f
321,Ghislain Konan,ci CIV,DF,Reims,25,1995,26.9,54,2.01,46,2,3,1,2,0,6,0.22,5,0,1,0,0,0,Matches,6b2c894b
322,Ibrahima Koné,ml MLI,FW,Lorient,22,1999,8.1,27,3.32,17,0,3,3,3,1,3,0.37,2,0,1,0,0,0,Matches,04bb2b06
323,Youssouf Koné,ml MLI,DF,Troyes,26,1995,10.9,13,1.19,10,0,3,0,0,0,1,0.09,1,0,0,0,0,0,Matches,e6eadfb8
324,Laurent Koscielny,fr FRA,DF,Bordeaux,35,1985,10.4,9,0.87,9,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,f5efb153
325,Rominigue Kouamé,ml MLI,MF,Troyes,24,1996,33.0,64,1.94,48,1,8,3,3,1,8,0.24,6,0,1,1,0,0,Matches,86a2ba20
326,Boubakar Kouyaté,ml MLI,DF,Metz,24,1997,29.6,18,0.61,8,0,1,3,0,6,1,0.03,1,0,0,0,0,0,Matches,562a4799
327,Jean-Philippe Krasso,ci CIV,FW,Saint-Étienne,24,1997,5.0,15,2.97,8,0,4,1,2,0,4,0.79,3,0,0,1,0,0,Matches,037f2523
328,Mykola Kukharevych,ua UKR,FW,Troyes,20,2001,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8197a269
329,Enock Kwateng,fr FRA,DF,Bordeaux,24,1997,22.2,33,1.48,24,3,3,0,0,3,0,0.00,0,0,0,0,0,0,Matches,4bf69118
330,Grejohn Kyei,fr FRA,FW,Clermont Foot,25,1995,4.4,11,2.50,8,0,1,2,0,0,1,0.23,1,0,0,0,0,0,Matches,397ba086
331,Gaëtan Laborde,fr FRA,FW,Montpellier,27,1994,3.8,10,2.65,6,0,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches,7cdda3bf
332,Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,30.3,79,2.61,61,0,1,16,0,1,19,0.63,13,0,1,4,0,1,Matches,7cdda3bf
333,Tom Lacoux,fr FRA,DFMF,Bordeaux,19,2002,10.1,12,1.19,7,1,0,0,2,2,3,0.30,1,1,0,0,0,1,Matches,295ba708
