,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
67,Iker Benito,es ESP,FWMF,Osasuna,18,2002,1.3,50,1,9,21,20,0,50,2,6,33.3,4,4,28,6,Matches,50cbc806
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,7,0,0,4,3,0,7,0,0,,2,0,6,2,Matches,a7416105
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,1488,15,59,509,931,223,1477,36,51,70.6,35,24,1263,208,Matches,70d74ece
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,748,33,222,346,191,12,748,8,11,72.7,13,7,415,26,Matches,b6e50615
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,1215,22,162,443,622,81,1214,33,71,46.5,70,36,788,132,Matches,dc1c2fce
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,1113,119,580,488,49,10,1113,2,6,33.3,12,0,738,4,Matches,697295b1
73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,24,1,12,12,2,0,24,1,1,100.0,0,1,15,0,Matches,506daeac
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,1130,1040,1128,2,0,0,1130,1,1,100.0,1,0,570,0,Matches,f6798fc3
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,787,25,62,413,328,74,787,57,88,64.8,142,78,602,90,Matches,d49f3e6b
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,81,3,7,40,35,12,81,2,3,66.7,8,5,65,18,Matches,fd771f95
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,1112,29,156,510,460,77,1112,15,27,55.6,43,26,705,131,Matches,4accb7e0
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,536,437,533,3,0,0,536,0,0,,0,0,223,0,Matches,10072610
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,169,15,33,106,31,1,169,1,3,33.3,6,7,87,0,Matches,3d688b46
80,Bryan,es ESP,MFFW,Valencia,20,2001,8.4,374,6,55,108,221,29,374,17,35,48.6,48,11,239,44,Matches,7b5ab7f2
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,608,21,48,267,301,91,606,11,31,35.5,62,28,415,89,Matches,8f3565b3
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,3077,81,545,2050,494,23,3077,21,26,80.8,20,15,2259,31,Matches,5ab0ea87
83,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches,505dce2b
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,201,16,81,109,13,2,201,0,0,,1,0,117,1,Matches,e7ab4179
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,2320,419,1262,980,90,27,2320,1,5,20.0,16,3,1399,4,Matches,69cbc8b6
86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,394,27,175,190,36,4,394,1,1,100.0,4,1,257,5,Matches,e94d79e3
87,Cala,es ESP,DF,Cádiz,31,1989,10.5,399,68,239,154,9,7,399,1,1,100.0,3,3,186,2,Matches,fe05804b
88,Calderón,es ESP,DF,Betis,21,2000,0.7,51,2,12,20,19,1,51,0,0,,1,0,36,3,Matches,da4e70e5
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,754,81,379,363,19,4,754,4,5,80.0,8,1,469,2,Matches,41b3069f
90,Víctor Camarasa,es ESP,MFFW,Betis,27,1994,1.2,68,3,16,38,14,2,68,0,1,0.0,5,0,45,3,Matches,b2d03887
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,1012,34,233,570,222,22,1012,22,32,68.8,16,10,761,28,Matches,7b9c2d84
92,José Campaña,es ESP,MF,Levante,28,1993,15.8,1017,32,216,564,255,18,1017,21,35,60.0,21,10,680,40,Matches,61220da2
93,Sergio Canales,es ESP,FWMF,Betis,30,1991,31.0,2094,21,247,1103,772,70,2094,29,57,50.9,50,41,1693,131,Matches,a6de370d
94,Álex Cantero,es ESP,FWMF,Levante,21,2000,6.8,192,4,22,75,99,28,192,8,15,53.3,16,8,143,33,Matches,4aa253fd
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0.0,3,0,1,1,1,0,3,0,0,,0,0,3,1,Matches,37f1cf47
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1574,85,357,1005,236,15,1574,41,55,74.5,23,14,1126,26,Matches,5acc4a10
97,Isaac Carcelen,es ESP,DFMF,Cádiz,28,1993,17.2,943,61,333,414,207,13,943,11,24,45.8,28,14,437,17,Matches,c4b888df
98,Cárdenas,es ESP,GK,Levante,24,1997,24.0,800,706,793,8,0,0,800,0,0,,0,0,301,0,Matches,e1846dde
99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,5,0,1,3,1,0,5,0,0,,0,0,4,0,Matches,8249ff06
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,2488,373,1407,1017,68,36,2488,2,4,50.0,14,2,1808,3,Matches,b4a014b1
101,Carmona,es ESP,DF,Sevilla,19,2002,0.3,15,2,9,4,2,1,15,1,1,100.0,0,0,5,0,Matches,2dce876a
102,Yannick Carrasco,be BEL,FWMF,Atlético Madrid,27,1993,28.7,1551,28,216,569,792,139,1549,88,136,64.7,77,52,1037,152,Matches,de39485a
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,13.0,446,29,56,234,163,39,446,8,14,57.1,34,15,313,43,Matches,8f898ba8
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,17.2,1351,73,399,524,440,36,1351,10,18,55.6,24,9,900,56,Matches,4958bfb2
105,William Carvalho,pt POR,MF,Betis,29,1992,20.1,1535,32,230,1036,290,40,1535,48,70,68.6,23,27,1167,34,Matches,dee86451
