,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,1.0,1.0,1.1,2.0,0.09,0.10,0.18,0.09,0.18,Matches,5c2b4f07
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,36,22,1870,20.8,6,1,5,1,1,9,1,0.29,0.05,0.34,0.24,0.29,4.7,4.5,1.8,6.4,0.23,0.09,0.31,0.22,0.31,Matches,253a06b9
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1934,21.5,1,0,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.9,2.5,0.07,0.04,0.12,0.07,0.12,Matches,bfd381b3
45,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,1.0,1.0,1.2,2.2,0.18,0.20,0.38,0.18,0.38,Matches,09a9e921
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e4346678
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a98f3cbf
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches,5ccc9672
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,1,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.3,1.3,0.1,1.5,0.43,0.04,0.47,0.43,0.47,Matches,a58bb1e1
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.8,0.01,0.02,0.04,0.01,0.04,Matches,1fe67e86
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35.0,1,2,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,1.1,1.1,3.9,5.0,0.03,0.11,0.14,0.03,0.14,Matches,cee88597
52,Barbero,es ESP,FWMF,Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,981c1863
53,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0c717ae6
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,30,17,1701,18.9,3,3,1,2,2,3,0,0.16,0.16,0.32,0.05,0.21,4.2,2.6,4.4,7.0,0.22,0.24,0.46,0.14,0.37,Matches,cac2537b
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,0.9,1.3,0.02,0.05,0.08,0.02,0.08,Matches,03049c8c
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,21,9,865,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.4,1.4,0.5,1.9,0.14,0.05,0.19,0.14,0.19,Matches,aad53e64
57,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,487d9b09
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.8,0.8,0.9,1.7,0.13,0.15,0.28,0.13,0.28,Matches,200e89e1
59,Marc Bartra,es ESP,DF,Betis,30,1991,23,23,1993,22.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.1,1.8,0.07,0.01,0.08,0.07,0.08,Matches,b742cc0d
